,Unnamed: 0,Rad21,ctcf,ctcfloc,nearest
0,0,396.1968647942521,672.2433813987661,6169,46.0
1,1,24.52193434453395,252.24623972190963,22919,51.0
2,2,804.6682149164186,921.7802655055144,6636,13.0
3,3,412.6349420615913,650.7221836304317,17468,7.0
4,4,207.6591479788083,803.8734271485458,27924,25.0
5,5,32.87615453467837,229.0137305603759,28578,223.0
6,6,1266.191566877132,1186.2102394772307,18432,196.0
7,7,227.10501487771245,847.1584838505503,19882,7.0
8,8,1183.0684278007595,1132.48548079307,28848,1.0
9,9,160.13607180008225,510.3235399620036,11396,18.0
10,10,1018.4916418704792,1062.026203714863,28355,188.0
11,11,829.6294893194957,782.1699720677473,9838,339.0
12,12,493.6965624017224,702.3087737184869,6623,13.0
13,13,493.7235987130173,849.3354400763014,14718,64.0
14,14,683.6063720153857,861.9244041090533,8524,14.0
15,15,41.034361467934296,153.54118939594494,5976,32.0
16,16,174.57346203159395,462.3016139735827,23633,40.0
17,17,168.01039746474103,416.7546569318503,23564,26.0
18,18,180.26460555918425,520.9433211648121,5310,3.0
19,19,547.6948351355928,1080.4750364899817,12390,38.0
20,20,8.19876140019837,80.00986029704296,5858,118.0
21,21,408.0996008418608,639.5581081377227,17179,24.0
22,22,599.3882623315674,829.2783021181991,20936,66.0
23,23,22.291438662699274,156.2829963494435,3529,48.0
24,24,769.7643370346178,959.2152022317306,19875,7.0
25,25,653.6636572562111,791.8338481705149,2110,142.0
26,26,90.30127972518568,199.60354621472823,25042,76.0
27,27,761.3560442218835,884.4952559351491,17522,54.0
28,28,46.01580182403173,162.85800914084396,17461,7.0
29,29,569.0805573699107,693.4524209603736,306,132.0
30,30,96.5196313230278,374.01058955422366,26860,13.0
31,31,648.9052664682971,821.9496956422331,22313,61.0
32,32,783.7556281297626,1158.332796472347,7947,18.0
33,33,996.828797445388,924.0824140207632,11378,18.0
34,34,14.72127150010886,181.89291981198176,19639,99.0
35,35,164.02254154873356,571.6296983592268,29047,70.0
36,36,28.617935505721263,337.108211384874,12314,38.0
37,37,958.5183443404212,1169.6017791313204,17691,45.0
38,38,472.53388973558793,867.7045677658007,17203,24.0
39,39,202.4005854319375,502.06856315159513,26360,178.0
40,40,851.4477925345332,829.5020575470478,25961,11.0
41,41,623.707424341389,962.9864888328188,3621,19.0
42,42,8.239315867140817,87.08306264247604,15222,87.0
43,43,112.00467861721944,777.2431563826541,8538,14.0
44,44,229.3152333260759,647.3260203823118,27572,86.0
45,45,17.735820209497543,139.78645784589128,23869,236.0
46,46,1015.6528291845076,1012.1184525487782,19455,85.0
47,47,243.0496794639185,329.6619654677631,13321,81.0
48,48,442.05720782833777,998.01773107364,5350,37.0
49,49,96.12084573142704,332.84432332141,12034,3.0
50,50,489.6275975518301,635.6464377515595,20697,67.0
51,51,322.84735225101,677.4029084705832,15868,90.0
52,52,803.7422212545661,1008.3035000720096,7023,253.0
53,53,348.78193386070586,678.4378136099875,23591,1.0
54,54,382.9220359484239,771.2356294945728,28150,17.0
55,55,458.4885260178533,591.3410672681648,23371,24.0
56,56,8.137929699784696,106.7298511654738,10677,11.0
57,57,559.0771221907734,771.2356294945728,14379,50.0
58,58,216.92584367515784,424.51491606092617,21537,82.0
59,59,13.856109538669957,210.52554834701627,8268,21.0
60,60,478.7590004112538,903.3630773835272,3000,30.0
61,61,1181.540876212594,1081.3650488758876,22868,51.0
62,62,210.8359145559668,538.1755429845141,26024,52.0
63,63,307.80164501536154,589.8330936904331,680,72.0
64,64,41.53453322689116,226.5603414210669,11094,13.0
65,65,903.1682560418028,1091.3062043374357,27899,25.0
66,66,141.59592132955947,511.7428901943599,16812,33.0
67,67,777.1790454072623,865.0984301470984,4743,22.0
68,68,102.09587052761448,392.2673776544977,1767,343.0
69,69,9.780385610953866,312.565992698887,28167,17.0
70,70,28.421922248832765,185.8949085228232,9064,265.0
71,71,571.0812444057382,838.2995972767096,7875,4.0
72,72,55.39064276556112,251.3014972510412,26182,10.0
73,73,598.5771729927184,855.4655731255176,8289,21.0
74,74,201.12311972325037,669.6101870878698,25972,11.0
75,75,92.1329898154196,345.6495969813925,18628,196.0
76,76,8.523197135737957,74.16820165736306,23395,24.0
77,77,7.7796985751264,88.40250298554392,26669,178.0
78,78,406.4639040085153,635.8180022421815,2252,19.0
79,79,66.25923990613735,194.2100313464288,16183,146.0
80,80,16.289377555216873,211.39728974803973,6770,134.0
81,81,482.87527880591233,1037.16420995646,2480,79.0
82,82,17.925074388562305,168.7684147905839,4074,51.0
83,83,424.0645426615381,915.0482684808012,3640,19.0
84,84,987.048411834434,1101.7397047613265,27461,111.0
85,85,449.70172484698935,619.0331367597477,25190,72.0
86,86,58.29704622976993,296.8915918850796,27309,41.0
87,87,24.582766044947626,89.48719627371004,22252,61.0
88,88,31.17286692309553,169.60945340249725,21619,82.0
89,89,1336.9320753804095,1076.7257540289754,2970,22.0
90,90,53.52513728620848,247.69380553496745,8008,43.0
91,91,295.5609550765658,616.8290327211121,21002,66.0
92,92,417.8259138302247,693.4524209603734,14601,8.0
93,93,430.44511212715,701.3449244441883,16688,28.0
94,94,1060.553383167622,1084.6307097072508,24177,169.0
95,95,844.472424220432,1006.7485045883124,15309,3.0
96,96,213.32325519510368,530.6624129775889,11701,47.0
97,97,586.167506108329,637.0015800572268,13402,81.0
98,98,282.928238623993,747.108958158317,14825,107.0
99,99,891.1641338268379,1033.973579223324,12168,54.0
100,100,825.601078936546,1021.0489094830324,5169,39.0
101,101,358.7448145729008,623.9743335729644,17010,35.0
102,102,643.1870866294119,729.3206496307374,21908,129.0
103,103,11.274141810000724,108.04750364899816,11977,57.0
104,104,268.92342937320075,664.5880475925062,3896,87.0
105,105,618.7597793744103,816.5220316518034,3427,102.0
106,106,191.72800154824972,931.047637826474,28914,65.0
107,107,61.10206352662264,767.5310709097971,7965,18.0
108,108,63.19737765198248,329.8626729048823,8051,43.0
109,109,767.1553329946537,1023.9468723292464,2271,19.0
110,110,1141.9732346324115,1140.732298140384,7664,70.0
111,111,323.67871882333014,791.8338481705149,22494,41.0
112,112,380.1237777293949,733.32790594739,10557,101.0
113,113,439.28598592060376,947.4934935373687,5465,109.0
114,114,131.07203715799403,342.74085173903444,29117,35.0
115,115,544.2950189902508,882.9217224858853,5058,111.0
116,116,1033.6387352734837,902.9684233523412,12927,151.0
117,117,27.06334760626073,136.13985459773758,5583,9.0
118,118,274.58077751167235,610.2145927559189,3745,17.0
119,119,21.203227133076904,80.47676133856406,1401,112.0
120,120,53.78874132133439,262.89465277387063,7363,147.0
121,121,17.472216174371628,75.18769583822034,23590,1.0
122,122,24.75174299054116,159.53889210672378,20343,98.0
123,123,90.36887050342308,389.9338126738591,14318,11.0
124,124,27.19852916273556,113.95635150480273,17282,79.0
125,125,831.1502818298376,896.2735694257251,19950,68.0
126,126,1060.5398650119746,962.7032575125731,13688,286.0
127,127,11.010537774874807,101.7656720414982,11081,13.0
128,128,37.742690567772215,257.40728810496586,16001,34.0
129,129,89.88221690011369,327.5545373780155,19196,88.0
130,130,54.1807678351114,270.118759122495,14593,8.0
131,131,106.39464402351403,384.6966063986311,16035,34.0
132,132,101.02793623146331,81.51230789990599,7510,147.0
133,133,89.15223649514962,324.14251094699404,12037,3.0
134,134,452.324247042601,596.9528448934861,27350,41.0
135,135,1269.4426833103514,1114.0172560293684,16716,28.0
136,136,631.0613010136198,886.7876080737368,19540,85.0
137,137,541.6116650942255,656.5079497494354,602,78.0
138,138,934.2194595640708,1060.830035826527,6079,71.0
139,139,668.8918595931005,810.3562773674864,29607,185.0
140,140,505.2951399472627,789.4956207223821,15312,3.0
141,141,183.00879115562327,387.32283087734106,2948,22.0
