birth,life,deltacoh,deltactcf,clife,cof,sep,face,frip_a,frip_c,reads_a,reads_c,ctcf_reads_a,ctcf_reads_c
0.0001,66.0,500,3200,17.0,17.0,74,1.0,0.00022422623135165,0.0002183808806306,1210749,1179186,9993560.0,9972558.0
0.0001,66.0,500,320,17.0,17.0,74,1.0,0.00022246427378230002,0.00020711390831590001,1201235,1118348,10024904.0,9991876.0
0.0001,66.0,500,32,17.0,17.0,74,1.0,0.00022129549995220002,0.00019834375247695002,1194924,1070992,10047136.0,10056608.0
0.0001,66.0,500,4000,17.0,17.0,74,1.0,0.00021910629452575,0.0002322081917507,1183103,1253849,10016230.0,9987993.0
0.0001,66.0,500,400,17.0,17.0,74,1.0,0.0002198215226246,0.00021236681608295,1186965,1146712,9952189.0,10082403.0
0.0001,66.0,500,4,17.0,17.0,74,1.0,0.00022704028908399998,0.00021180474532169998,1225944,1143677,10026835.0,10038043.0
0.0001,66.0,500,6400,17.0,17.0,74,1.0,0.0002225298332714,0.0002237010146534,1201589,1207913,9981457.0,10013540.0
0.0001,66.0,500,640,17.0,17.0,74,1.0,0.00022595744633559998,0.00021140046180545,1220097,1141494,9980037.0,9977400.0
0.0001,66.0,500,64,17.0,17.0,74,1.0,0.00022269891749055,0.00019687533103835,1202502,1063063,9935363.0,10005594.0
0.0001,66.0,500,8000,17.0,17.0,74,1.0,0.00022241149283765003,0.0002292487549252,1200950,1237869,10036641.0,10045916.0
0.0001,66.0,500,400,39.66666666666666,17.0,74,1.0,0.0005145410576486,0.00018533278663384998,2778355,1000737,14015649.0,9955668.0
0.0001,66.0,500,4,39.66666666666666,17.0,74,1.0,0.0005318356138405,0.00017849700611660002,2871740,963826,14016761.0,10013105.0
0.0001,66.0,500,6400,39.66666666666666,17.0,74,1.0,0.0005177923638381,0.00021807752909614998,2795911,1177548,13975178.0,10008479.0
0.0001,66.0,500,640,39.66666666666666,17.0,74,1.0,0.0005231580561499999,0.00019901082953865002,2824884,1074594,14026934.0,9968399.0
0.0001,66.0,500,64,39.66666666666666,17.0,74,1.0,0.0005252405885093499,0.00015718906097325,2836129,848770,13984352.0,9967648.0
0.0001,66.0,500,8000,39.66666666666666,17.0,74,1.0,0.0005182905418768999,0.00023306750256860001,2798601,1258489,13973107.0,10027333.0
0.0001,66.0,500,800,39.66666666666666,17.0,74,1.0,0.00051569501577495,0.0002168424549917,2784586,1170879,14001854.0,10035197.0
0.0001,66.0,500,8,39.66666666666666,17.0,74,1.0,0.0005095977980900501,0.0001518376287762,2751663,819874,14000061.0,10009694.0
0.0001,66.0,500,10000,153.00000000000003,17.0,74,1.0,0.0010338935150923001,0.00023212059390225,5582690,1253376,18029679.0,9981455.0
0.0001,66.0,500,1600,153.00000000000003,17.0,74,1.0,0.00103861898380565,0.0002140733999595,5608206,1155927,17979547.0,10063060.0
0.0001,66.0,500,160,153.00000000000003,17.0,74,1.0,0.00104974724409385,0.00010315859692321492,5668295,557023,18009905.0,10050891.0
0.0001,66.0,500,16,153.00000000000003,17.0,74,1.0,0.00103847934579775,7.440020475302591e-05,5607452,401737,17989603.0,9958810.0
0.0001,66.0,500,3200,153.00000000000003,17.0,74,1.0,0.00104173583748355,0.0002276473625454,5625036,1229222,17995106.0,10010090.0
0.0001,66.0,500,320,153.00000000000003,17.0,74,1.0,0.0010519103368424,0.0001286332735519,5679975,694578,17968908.0,9999436.0
