birth,deltactcf,sep,face,frip
0.0001,10000,500,0.9,0.013687
0.0001,1000,500,0.9,0.013805833333333333
0.0001,100,500,0.9,0.013453833333333333
0.0001,1500,500,0.9,0.016643666666666668
0.0001,2000,500,0.9,0.015350833333333333
0.0001,200,500,0.9,0.013829
0.0001,3000,500,0.9,0.014429
0.0001,300,500,0.9,0.013328
0.0001,4000,500,0.9,0.0152065
0.0001,400,500,0.9,0.0139115
0.0001,5000,500,0.9,0.015858166666666666
0.0001,500,500,0.9,0.017126333333333334
0.0001,700,500,0.9,0.014888333333333333
0.001,10000,500,0.9,0.016324
0.001,1000,500,0.9,0.014333166666666666
0.001,100,500,0.9,0.015308333333333334
0.001,1500,500,0.9,0.016904666666666665
0.001,2000,500,0.9,0.014899333333333334
0.001,200,500,0.9,0.015500666666666666
0.001,3000,500,0.9,0.014726166666666667
0.001,300,500,0.9,0.016321333333333334
0.001,4000,500,0.9,0.015039333333333333
0.001,400,500,0.9,0.015733833333333332
0.001,5000,500,0.9,0.015821666666666668
0.001,500,500,0.9,0.015972833333333332
0.001,700,500,0.9,0.016350666666666666
0.01,10000,500,0.9,0.015729166666666666
0.01,1000,500,0.9,0.01614816666666667
0.01,100,500,0.9,0.016526833333333334
0.01,1500,500,0.9,0.0177965
0.01,2000,500,0.9,0.0140645
0.01,200,500,0.9,0.014360666666666667
0.01,3000,500,0.9,0.013178
0.01,300,500,0.9,0.016168833333333334
0.01,4000,500,0.9,0.018584666666666666
0.01,400,500,0.9,0.016539666666666668
0.01,5000,500,0.9,0.015066333333333333
0.01,500,500,0.9,0.017585333333333335
0.01,700,500,0.9,0.0140885
0.1,10000,500,0.9,0.016122
0.1,1000,500,0.9,0.025158333333333335
0.1,100,500,0.9,0.039467666666666665
0.1,1500,500,0.9,0.021217166666666665
0.1,2000,500,0.9,0.0192985
0.1,200,500,0.9,0.0349525
0.1,3000,500,0.9,0.014192
0.1,300,500,0.9,0.035053666666666664
0.1,4000,500,0.9,0.0128735
0.1,400,500,0.9,0.032145
0.1,5000,500,0.9,0.012228333333333334
0.1,500,500,0.9,0.0276525
0.1,700,500,0.9,0.0295875
0.3,10000,500,0.9,0.014246833333333334
0.3,1000,500,0.9,0.039866
0.3,100,500,0.9,0.081651
0.3,1500,500,0.9,0.029063166666666668
0.3,2000,500,0.9,0.0200825
0.3,200,500,0.9,0.07491066666666667
0.3,3000,500,0.9,0.014662666666666666
0.3,300,500,0.9,0.068395
0.3,4000,500,0.9,0.014687
0.3,400,500,0.9,0.057161166666666666
0.3,5000,500,0.9,0.011692
0.3,500,500,0.9,0.06142
0.3,700,500,0.9,0.049992166666666664
0.5,10000,500,0.9,0.015661666666666667
0.5,1000,500,0.9,0.051484666666666665
0.5,100,500,0.9,0.1115215
0.5,1500,500,0.9,0.036054
0.5,2000,500,0.9,0.026265666666666666
0.5,200,500,0.9,0.1111015
0.5,3000,500,0.9,0.013538
0.5,300,500,0.9,0.092415
0.5,4000,500,0.9,0.014667666666666667
0.5,400,500,0.9,0.0833165
0.5,5000,500,0.9,0.010693
0.5,500,500,0.9,0.07754866666666667
0.5,700,500,0.9,0.06727483333333334
0.75,10000,500,0.9,0.01126
0.75,1000,500,0.9,0.06104916666666667
0.75,100,500,0.9,0.14435533333333334
0.75,1500,500,0.9,0.043090833333333335
0.75,2000,500,0.9,0.028196
0.75,200,500,0.9,0.129383
0.75,3000,500,0.9,0.015114666666666667
0.75,300,500,0.9,0.11990816666666666
0.75,4000,500,0.9,0.013201833333333333
0.75,400,500,0.9,0.11402583333333334
0.75,5000,500,0.9,0.008757833333333333
0.75,500,500,0.9,0.09991816666666667
0.75,700,500,0.9,0.0833115
1.0,10000,500,0.9,0.0075275
1.0,1000,500,0.9,0.07462916666666666
1.0,100,500,0.9,0.16892616666666666
1.0,1500,500,0.9,0.044982666666666664
1.0,2000,500,0.9,0.0313375
1.0,200,500,0.9,0.1558455
1.0,3000,500,0.9,0.016705333333333332
1.0,300,500,0.9,0.14438466666666666
1.0,4000,500,0.9,0.008310666666666666
1.0,400,500,0.9,0.12818233333333334
1.0,5000,500,0.9,0.009091166666666666
1.0,500,500,0.9,0.11668316666666667
1.0,700,500,0.9,0.100717
