data/birth,life,sep,deltactcf,clife,cof,fountainscore
0.0001,66,74,1000,17.0,17.0,0.06991858780524371
0.0001,66,74,100,17.0,17.0,0.03913683390208334
0.0001,66,74,3000,17.0,17.0,0.06430484137308733
0.0005,66,74,1000,17.0,17.0,0.021365239965875464
0.0005,66,74,100,17.0,17.0,0.01882125042190248
0.0005,66,74,3000,17.0,17.0,0.03307199230513996
0.001,66,74,1000,17.0,17.0,0.09664670974392943
0.001,66,74,100,17.0,17.0,0.04154733247519304
0.001,66,74,3000,17.0,17.0,0.08759824363159367
0.005,66,74,1000,17.0,17.0,0.07618821585920792
0.005,66,74,100,17.0,17.0,0.03926953049757311
0.005,66,74,3000,17.0,17.0,0.06756108977530419
0.01,66,74,1000,17.0,17.0,0.1333079485348698
0.01,66,74,100,17.0,17.0,0.07270767277587634
0.01,66,74,3000,17.0,17.0,0.044847348437929396
0.05,66,74,1000,17.0,17.0,0.1719415229568036
0.05,66,74,100,17.0,17.0,0.0767644082388337
0.05,66,74,3000,17.0,17.0,0.18440149586733412
0.1,66,74,1000,17.0,17.0,0.19341364710999828
0.1,66,74,100,17.0,17.0,0.11015336907254367
0.1,66,74,3000,17.0,17.0,0.18979241983679881
0.5,66,74,1000,17.0,17.0,0.24762641356501042
0.5,66,74,100,17.0,17.0,0.1742481708634408
0.5,66,74,3000,17.0,17.0,0.23933112735584333
