birth,deltactcf,clife,cof,sep,face,frip
0.0001,1000,15.0,1.5,1000,1.0,0.00036294444444444444
0.0001,100,15.0,1.5,1000,1.0,0.0004806111111111111
0.0001,10,15.0,1.5,1000,1.0,0.0002915
0.0001,1500,15.0,1.5,1000,1.0,0.0004167777777777778
0.0001,150,15.0,1.5,1000,1.0,0.00041716666666666665
0.0001,3000,15.0,1.5,1000,1.0,0.00028222222222222223
0.0001,300,15.0,1.5,1000,1.0,0.00041544444444444447
0.0001,30,15.0,1.5,1000,1.0,0.0003012222222222222
0.0001,500,15.0,1.5,1000,1.0,0.0003045
0.0001,50,15.0,1.5,1000,1.0,0.00034722222222222224
0.0001,70,15.0,1.5,1000,1.0,0.00043255555555555555
0.0001,750,15.0,1.5,1000,1.0,0.00030505555555555554
0.001,1000,15.0,1.5,1000,1.0,0.000257
0.001,100,15.0,1.5,1000,1.0,0.00035
0.001,10,15.0,1.5,1000,1.0,0.00042061111111111113
0.001,1500,15.0,1.5,1000,1.0,0.00042866666666666666
0.001,150,15.0,1.5,1000,1.0,0.00038438888888888887
0.001,3000,15.0,1.5,1000,1.0,0.0002887222222222222
0.001,300,15.0,1.5,1000,1.0,0.0002757777777777778
0.001,30,15.0,1.5,1000,1.0,0.00044816666666666665
0.001,500,15.0,1.5,1000,1.0,0.0002742777777777778
0.001,50,15.0,1.5,1000,1.0,0.00043316666666666666
0.001,70,15.0,1.5,1000,1.0,0.00037233333333333335
0.001,750,15.0,1.5,1000,1.0,0.00045755555555555556
0.01,1000,15.0,1.5,1000,1.0,0.0002665
0.01,100,15.0,1.5,1000,1.0,0.0005868333333333333
0.01,10,15.0,1.5,1000,1.0,0.0009666666666666667
0.01,1500,15.0,1.5,1000,1.0,0.0004413888888888889
0.01,150,15.0,1.5,1000,1.0,0.0004931666666666667
0.01,3000,15.0,1.5,1000,1.0,0.000328
0.01,300,15.0,1.5,1000,1.0,0.00021338888888888888
0.01,30,15.0,1.5,1000,1.0,0.0008596111111111111
0.01,500,15.0,1.5,1000,1.0,0.00044644444444444446
0.01,50,15.0,1.5,1000,1.0,0.0006499444444444444
0.01,70,15.0,1.5,1000,1.0,0.0006645
0.01,750,15.0,1.5,1000,1.0,0.0002771111111111111
0.05,1000,15.0,1.5,1000,1.0,0.00029944444444444446
0.05,100,15.0,1.5,1000,1.0,0.0016773888888888889
0.05,10,15.0,1.5,1000,1.0,0.002523611111111111
0.05,1500,15.0,1.5,1000,1.0,0.0003333888888888889
0.05,150,15.0,1.5,1000,1.0,0.00099
0.05,3000,15.0,1.5,1000,1.0,0.000353
0.05,300,15.0,1.5,1000,1.0,0.0004713333333333333
0.05,30,15.0,1.5,1000,1.0,0.002507388888888889
0.05,500,15.0,1.5,1000,1.0,0.00037244444444444445
0.05,50,15.0,1.5,1000,1.0,0.0023083333333333332
0.05,70,15.0,1.5,1000,1.0,0.0015317222222222223
