birth,deltactcf,clife,cof,sep,face,frip
0.0001,1000,15.0,1.5,75,1.0,0.0003592975
0.0001,100,15.0,1.5,75,1.0,0.0003145925
0.0001,10,15.0,1.5,75,1.0,0.0003323525
0.0001,200,15.0,1.5,75,1.0,0.000374045
0.0001,20,15.0,1.5,75,1.0,0.0003229525
0.0001,400,15.0,1.5,75,1.0,0.0003396675
0.0001,40,15.0,1.5,75,1.0,0.0003815075
0.0001,4,15.0,1.5,75,1.0,0.00033567
0.0001,600,15.0,1.5,75,1.0,0.00034268
0.0001,60,15.0,1.5,75,1.0,0.00035144
0.0001,6,15.0,1.5,75,1.0,0.00034675
0.0001,800,15.0,1.5,75,1.0,0.000348715
0.0001,80,15.0,1.5,75,1.0,0.00034474
0.0001,8,15.0,1.5,75,1.0,0.00035542
0.00025,1000,15.0,1.5,75,1.0,0.0003258725
0.00025,100,15.0,1.5,75,1.0,0.0003366425
0.00025,10,15.0,1.5,75,1.0,0.00036065
0.00025,200,15.0,1.5,75,1.0,0.0003707925
0.00025,20,15.0,1.5,75,1.0,0.00040479
0.00025,400,15.0,1.5,75,1.0,0.000355045
0.00025,40,15.0,1.5,75,1.0,0.0003197675
0.00025,4,15.0,1.5,75,1.0,0.0003335225
0.00025,600,15.0,1.5,75,1.0,0.0003521625
0.00025,60,15.0,1.5,75,1.0,0.00035301
0.00025,6,15.0,1.5,75,1.0,0.0003495
0.00025,800,15.0,1.5,75,1.0,0.0003506675
0.00025,80,15.0,1.5,75,1.0,0.00035049
0.00025,8,15.0,1.5,75,1.0,0.0003583325
0.0005,1000,15.0,1.5,75,1.0,0.00035023
0.0005,100,15.0,1.5,75,1.0,0.000340375
0.0005,10,15.0,1.5,75,1.0,0.0003903875
0.0005,200,15.0,1.5,75,1.0,0.00034499
0.0005,20,15.0,1.5,75,1.0,0.0003649725
0.0005,400,15.0,1.5,75,1.0,0.000326555
0.0005,40,15.0,1.5,75,1.0,0.0003683825
0.0005,4,15.0,1.5,75,1.0,0.00037587
0.0005,600,15.0,1.5,75,1.0,0.000340425
0.0005,60,15.0,1.5,75,1.0,0.0003379125
0.0005,6,15.0,1.5,75,1.0,0.0003777125
0.0005,800,15.0,1.5,75,1.0,0.0003598325
0.0005,80,15.0,1.5,75,1.0,0.00034928
0.0005,8,15.0,1.5,75,1.0,0.000400675
0.00075,1000,15.0,1.5,75,1.0,0.0003418525
0.00075,100,15.0,1.5,75,1.0,0.000343135
0.00075,10,15.0,1.5,75,1.0,0.0003861175
0.00075,200,15.0,1.5,75,1.0,0.0003692175
0.00075,20,15.0,1.5,75,1.0,0.0003847425
0.00075,400,15.0,1.5,75,1.0,0.00034715
0.00075,40,15.0,1.5,75,1.0,0.0003684075
0.00075,4,15.0,1.5,75,1.0,0.000374045
0.00075,600,15.0,1.5,75,1.0,0.000374015
0.00075,60,15.0,1.5,75,1.0,0.000364545
0.00075,6,15.0,1.5,75,1.0,0.0003832275
0.00075,800,15.0,1.5,75,1.0,0.00035816
0.00075,80,15.0,1.5,75,1.0,0.00038882
0.00075,8,15.0,1.5,75,1.0,0.000367755
0.001,1000,15.0,1.5,75,1.0,0.0003914725
0.001,100,15.0,1.5,75,1.0,0.000378355
0.001,10,15.0,1.5,75,1.0,0.0003963775
0.001,200,15.0,1.5,75,1.0,0.00034712
0.001,20,15.0,1.5,75,1.0,0.0003827125
0.001,400,15.0,1.5,75,1.0,0.00032338
0.001,40,15.0,1.5,75,1.0,0.0004137725
0.001,4,15.0,1.5,75,1.0,0.000397765
0.001,600,15.0,1.5,75,1.0,0.0003125125
0.001,60,15.0,1.5,75,1.0,0.0003638975
0.001,6,15.0,1.5,75,1.0,0.00039546
0.001,800,15.0,1.5,75,1.0,0.000346235
0.001,80,15.0,1.5,75,1.0,0.0003652025
0.001,8,15.0,1.5,75,1.0,0.000399385
0.0025,1000,15.0,1.5,75,1.0,0.000335185
0.0025,100,15.0,1.5,75,1.0,0.00042534
0.0025,10,15.0,1.5,75,1.0,0.00050038
0.0025,200,15.0,1.5,75,1.0,0.0003720975
0.0025,20,15.0,1.5,75,1.0,0.000481555
0.0025,400,15.0,1.5,75,1.0,0.00035599
0.0025,40,15.0,1.5,75,1.0,0.000480445
0.0025,4,15.0,1.5,75,1.0,0.0004562225
0.0025,600,15.0,1.5,75,1.0,0.0003601575
0.0025,60,15.0,1.5,75,1.0,0.0004456525
0.0025,6,15.0,1.5,75,1.0,0.000471325
0.0025,800,15.0,1.5,75,1.0,0.0003704
0.0025,80,15.0,1.5,75,1.0,0.0003789825
0.0025,8,15.0,1.5,75,1.0,0.00052291
0.005,1000,15.0,1.5,75,1.0,0.0003510875
0.005,100,15.0,1.5,75,1.0,0.00049747
0.005,10,15.0,1.5,75,1.0,0.00060565
0.005,200,15.0,1.5,75,1.0,0.000387545
0.005,20,15.0,1.5,75,1.0,0.0005534175
0.005,400,15.0,1.5,75,1.0,0.000345115
0.005,40,15.0,1.5,75,1.0,0.000567055
0.005,4,15.0,1.5,75,1.0,0.00065653
0.005,600,15.0,1.5,75,1.0,0.0003775175
0.005,60,15.0,1.5,75,1.0,0.0005321625
0.005,6,15.0,1.5,75,1.0,0.0006029125
0.005,800,15.0,1.5,75,1.0,0.0003280875
0.005,80,15.0,1.5,75,1.0,0.00044275
0.005,8,15.0,1.5,75,1.0,0.00067971
0.0075,1000,15.0,1.5,75,1.0,0.000342155
0.0075,100,15.0,1.5,75,1.0,0.0005043925
0.0075,10,15.0,1.5,75,1.0,0.00073535
0.0075,200,15.0,1.5,75,1.0,0.00042223
0.0075,20,15.0,1.5,75,1.0,0.00073754
0.0075,400,15.0,1.5,75,1.0,0.000324685
