birth,deltactcf,clife,cof,sep,face,frip
0.0001,1000,150.0,15.0,75,1.0,0.0019076725
0.0001,100,150.0,15.0,75,1.0,0.001953205
0.0001,10,150.0,15.0,75,1.0,0.00173095
0.0001,200,150.0,15.0,75,1.0,0.0019143175
0.0001,20,150.0,15.0,75,1.0,0.0014410975
0.0001,400,150.0,15.0,75,1.0,0.00187048
0.0001,40,150.0,15.0,75,1.0,0.001823405
0.0001,4,150.0,15.0,75,1.0,0.0020398775
0.0001,600,150.0,15.0,75,1.0,0.001625495
0.0001,60,150.0,15.0,75,1.0,0.0017998325
0.0001,6,150.0,15.0,75,1.0,0.00184979
0.0001,800,150.0,15.0,75,1.0,0.0019726075
0.0001,80,150.0,15.0,75,1.0,0.00210004
0.0001,8,150.0,15.0,75,1.0,0.0015763875
0.00025,1000,150.0,15.0,75,1.0,0.00165206
0.00025,100,150.0,15.0,75,1.0,0.00159286
0.00025,10,150.0,15.0,75,1.0,0.00151685
0.00025,200,150.0,15.0,75,1.0,0.001548145
0.00025,20,150.0,15.0,75,1.0,0.0017176025
0.00025,400,150.0,15.0,75,1.0,0.0016360825
0.00025,40,150.0,15.0,75,1.0,0.0017632575
0.00025,4,150.0,15.0,75,1.0,0.001868
0.00025,600,150.0,15.0,75,1.0,0.001757515
0.00025,60,150.0,15.0,75,1.0,0.00146121
0.00025,6,150.0,15.0,75,1.0,0.001851425
0.00025,800,150.0,15.0,75,1.0,0.0018460125
0.00025,80,150.0,15.0,75,1.0,0.00173735
0.00025,8,150.0,15.0,75,1.0,0.00192939
0.0005,1000,150.0,15.0,75,1.0,0.001676935
0.0005,100,150.0,15.0,75,1.0,0.00183325
0.0005,10,150.0,15.0,75,1.0,0.0019820525
0.0005,200,150.0,15.0,75,1.0,0.002124475
0.0005,20,150.0,15.0,75,1.0,0.001618655
0.0005,400,150.0,15.0,75,1.0,0.0015051575
0.0005,40,150.0,15.0,75,1.0,0.0019677675
0.0005,4,150.0,15.0,75,1.0,0.0017252075
0.0005,600,150.0,15.0,75,1.0,0.0017315275
0.0005,60,150.0,15.0,75,1.0,0.0017388
0.0005,6,150.0,15.0,75,1.0,0.00201179
0.0005,800,150.0,15.0,75,1.0,0.0018807125
0.0005,80,150.0,15.0,75,1.0,0.0018334675
0.0005,8,150.0,15.0,75,1.0,0.0019441825
0.00075,1000,150.0,15.0,75,1.0,0.0017211
0.00075,100,150.0,15.0,75,1.0,0.00181792
0.00075,10,150.0,15.0,75,1.0,0.0021841625
0.00075,200,150.0,15.0,75,1.0,0.0024176575
0.00075,20,150.0,15.0,75,1.0,0.0020771175
0.00075,400,150.0,15.0,75,1.0,0.0018412825
0.00075,40,150.0,15.0,75,1.0,0.0017668775
0.00075,4,150.0,15.0,75,1.0,0.00170992
0.00075,600,150.0,15.0,75,1.0,0.0018079225
0.00075,60,150.0,15.0,75,1.0,0.0015206525
0.00075,6,150.0,15.0,75,1.0,0.00169275
0.00075,800,150.0,15.0,75,1.0,0.001837815
0.00075,80,150.0,15.0,75,1.0,0.00185527
0.00075,8,150.0,15.0,75,1.0,0.0022414725
0.001,1000,150.0,15.0,75,1.0,0.001600965
