birth,deltactcf,sep,face,frip
0.0001,1000,1000,1.0,0.0012525833333333334
0.0001,100,1000,1.0,0.0018990833333333334
0.0001,1100,1000,1.0,0.0016165833333333334
0.0001,1300,1000,1.0,0.0015468333333333334
0.0001,1500,1000,1.0,0.00157675
0.0001,150,1000,1.0,0.0015551666666666667
0.0001,200,1000,1.0,0.0016379166666666666
0.0001,300,1000,1.0,0.0013870833333333333
0.0001,400,1000,1.0,0.001425
0.0001,500,1000,1.0,0.0015665833333333332
0.0001,600,1000,1.0,0.0012356666666666666
0.0001,700,1000,1.0,0.0015346666666666666
0.0001,800,1000,1.0,0.0015270833333333334
0.0001,900,1000,1.0,0.0016145
0.001,1000,1000,1.0,0.0014388333333333334
0.001,100,1000,1.0,0.0016383333333333334
0.001,1100,1000,1.0,0.0015826666666666667
0.001,1300,1000,1.0,0.0019326666666666667
0.001,1500,1000,1.0,0.00125025
0.001,150,1000,1.0,0.0014255833333333334
0.001,200,1000,1.0,0.0016491666666666666
0.001,300,1000,1.0,0.0016298333333333334
0.001,400,1000,1.0,0.00144575
0.001,500,1000,1.0,0.00159325
0.001,600,1000,1.0,0.0021685
0.001,700,1000,1.0,0.00158775
0.001,800,1000,1.0,0.0017235833333333333
0.001,900,1000,1.0,0.0017575
0.01,1000,1000,1.0,0.0018049166666666667
0.01,100,1000,1.0,0.00167
0.01,1100,1000,1.0,0.001768
0.01,1300,1000,1.0,0.0019555
0.01,1500,1000,1.0,0.0015085
0.01,150,1000,1.0,0.0016570833333333333
0.01,200,1000,1.0,0.0019474166666666667
0.01,300,1000,1.0,0.0015566666666666667
0.01,400,1000,1.0,0.0019248333333333333
0.01,500,1000,1.0,0.00168125
0.01,600,1000,1.0,0.0016106666666666667
0.01,700,1000,1.0,0.001986
0.01,800,1000,1.0,0.0018074166666666666
0.01,900,1000,1.0,0.0015810833333333334
0.1,1000,1000,1.0,0.0027308333333333334
0.1,100,1000,1.0,0.0037443333333333335
0.1,1100,1000,1.0,0.0028583333333333334
0.1,1300,1000,1.0,0.002356833333333333
0.1,1500,1000,1.0,0.0028270833333333334
0.1,150,1000,1.0,0.00318875
0.1,200,1000,1.0,0.0029711666666666667
0.1,300,1000,1.0,0.0036763333333333335
0.1,400,1000,1.0,0.0033255
0.1,500,1000,1.0,0.002999083333333333
0.1,600,1000,1.0,0.0032525833333333335
0.1,700,1000,1.0,0.0025095833333333333
0.1,800,1000,1.0,0.0031485833333333335
0.1,900,1000,1.0,0.0028155
0.3,1000,1000,1.0,0.0050675
0.3,100,1000,1.0,0.007090666666666667
0.3,1100,1000,1.0,0.00532975
0.3,1300,1000,1.0,0.004739416666666667
0.3,1500,1000,1.0,0.005592
0.3,150,1000,1.0,0.007358583333333333
0.3,200,1000,1.0,0.006909916666666667
0.3,300,1000,1.0,0.006332416666666667
0.3,400,1000,1.0,0.00587875
0.3,500,1000,1.0,0.005316083333333333
0.3,600,1000,1.0,0.005353833333333334
0.3,700,1000,1.0,0.0060476666666666665
0.3,800,1000,1.0,0.005376
0.3,900,1000,1.0,0.004951
0.5,1000,1000,1.0,0.00769025
0.5,100,1000,1.0,0.010748916666666667
0.5,1100,1000,1.0,0.007094583333333333
0.5,1300,1000,1.0,0.0066946666666666665
0.5,1500,1000,1.0,0.007049166666666666
0.5,150,1000,1.0,0.010545416666666666
0.5,200,1000,1.0,0.01116025
0.5,300,1000,1.0,0.008985166666666667
0.5,400,1000,1.0,0.009177916666666666
0.5,500,1000,1.0,0.009046833333333334
0.5,600,1000,1.0,0.008043416666666667
0.5,700,1000,1.0,0.0070659166666666665
0.5,800,1000,1.0,0.007146166666666667
0.5,900,1000,1.0,0.006856833333333334
1.0,1000,1000,1.0,0.010578916666666667
1.0,100,1000,1.0,0.016473583333333333
1.0,1100,1000,1.0,0.0115005
1.0,1300,1000,1.0,0.01143125
1.0,1500,1000,1.0,0.010303416666666667
1.0,150,1000,1.0,0.015983583333333332
1.0,200,1000,1.0,0.015563416666666666
1.0,300,1000,1.0,0.014907166666666668
1.0,400,1000,1.0,0.014123
1.0,500,1000,1.0,0.01290975
1.0,600,1000,1.0,0.012933416666666666
1.0,700,1000,1.0,0.01174225
1.0,800,1000,1.0,0.01184875
1.0,900,1000,1.0,0.011701833333333333
0.0001,1000,1000,1.0,0.0004305
0.0001,100,1000,1.0,0.00043358333333333335
0.0001,1100,1000,1.0,0.0004875
0.0001,1300,1000,1.0,0.00042491666666666665
0.0001,1500,1000,1.0,0.00037183333333333334
0.0001,150,1000,1.0,0.0003495833333333333
0.0001,200,1000,1.0,0.00037666666666666664
0.0001,300,1000,1.0,0.0004635
0.0001,400,1000,1.0,0.0005225833333333333
0.0001,500,1000,1.0,0.00046216666666666666
0.0001,600,1000,1.0,0.000418
0.0001,700,1000,1.0,0.00040783333333333334
0.0001,800,1000,1.0,0.000364
0.0001,900,1000,1.0,0.00035775
0.001,1000,1000,1.0,0.0004733333333333333
0.001,100,1000,1.0,0.0004489166666666667
0.001,1100,1000,1.0,0.0005768333333333334
0.001,1300,1000,1.0,0.000455
0.001,1500,1000,1.0,0.00038258333333333335
0.001,150,1000,1.0,0.0005501666666666667
0.001,200,1000,1.0,0.00045441666666666666
0.001,300,1000,1.0,0.0006648333333333334
0.001,400,1000,1.0,0.00037633333333333334
0.001,500,1000,1.0,0.000394
0.001,600,1000,1.0,0.0004215
0.001,700,1000,1.0,0.00032275
0.001,800,1000,1.0,0.00038933333333333333
0.001,900,1000,1.0,0.00039733333333333336
0.01,1000,1000,1.0,0.0004904166666666667
0.01,100,1000,1.0,0.0005496666666666666
0.01,1100,1000,1.0,0.00047116666666666666
0.01,1300,1000,1.0,0.0004145833333333333
0.01,1500,1000,1.0,0.0005248333333333333
0.01,150,1000,1.0,0.00044216666666666666
0.01,200,1000,1.0,0.0005721666666666667
0.01,300,1000,1.0,0.00043475
0.01,400,1000,1.0,0.00053425
0.01,500,1000,1.0,0.0004
0.01,600,1000,1.0,0.00037233333333333335
0.01,700,1000,1.0,0.000463
0.01,800,1000,1.0,0.00046416666666666666
0.01,900,1000,1.0,0.00046333333333333334
0.1,1000,1000,1.0,0.0006765
0.1,100,1000,1.0,0.0010498333333333334
0.1,1100,1000,1.0,0.0006561666666666667
0.1,1300,1000,1.0,0.0006075
0.1,1500,1000,1.0,0.0006653333333333333
0.1,150,1000,1.0,0.0011101666666666666
0.1,200,1000,1.0,0.0012134166666666667
0.1,300,1000,1.0,0.00092075
0.1,400,1000,1.0,0.001017
0.1,500,1000,1.0,0.0008946666666666667
0.1,600,1000,1.0,0.0009030833333333333
0.1,700,1000,1.0,0.00070275
0.1,800,1000,1.0,0.00080175
0.1,900,1000,1.0,0.0006569166666666667
0.3,1000,1000,1.0,0.001659
0.3,100,1000,1.0,0.0018435
0.3,1100,1000,1.0,0.0014986666666666666
0.3,1300,1000,1.0,0.00150825
0.3,1500,1000,1.0,0.0012194166666666666
0.3,150,1000,1.0,0.0017305833333333333
0.3,200,1000,1.0,0.0017484166666666666
0.3,300,1000,1.0,0.0014818333333333333
0.3,400,1000,1.0,0.0016945
0.3,500,1000,1.0,0.0015628333333333334
0.3,600,1000,1.0,0.0014534166666666667
0.3,700,1000,1.0,0.0014221666666666666
0.3,800,1000,1.0,0.0014119166666666666
0.3,900,1000,1.0,0.0013084166666666667
0.5,1000,1000,1.0,0.0016736666666666666
0.5,100,1000,1.0,0.0024456666666666667
0.5,1100,1000,1.0,0.0016016666666666666
0.5,1300,1000,1.0,0.0016184166666666667
0.5,1500,1000,1.0,0.0015705
0.5,150,1000,1.0,0.0027530833333333335
0.5,200,1000,1.0,0.002458333333333333
0.5,300,1000,1.0,0.00212675
0.5,400,1000,1.0,0.0020886666666666666
0.5,500,1000,1.0,0.0018601666666666667
0.5,600,1000,1.0,0.002218083333333333
0.5,700,1000,1.0,0.00168125
0.5,800,1000,1.0,0.0017884166666666667
0.5,900,1000,1.0,0.0018595833333333333
1.0,1000,1000,1.0,0.0026463333333333334
1.0,100,1000,1.0,0.004261583333333333
1.0,1100,1000,1.0,0.0026993333333333335
1.0,1300,1000,1.0,0.0027986666666666668
1.0,1500,1000,1.0,0.0027009166666666666
1.0,150,1000,1.0,0.003908666666666667
1.0,200,1000,1.0,0.004405416666666667
1.0,300,1000,1.0,0.0038191666666666665
1.0,400,1000,1.0,0.003443
1.0,500,1000,1.0,0.0030825
1.0,600,1000,1.0,0.00326925
1.0,700,1000,1.0,0.0030735
1.0,800,1000,1.0,0.00262475
