birth,deltactcf,clife,cof,sep,face,frip
0.0001,1000,15.0,1.5,100,1.0,0.00535612
0.0001,100,15.0,1.5,100,1.0,0.005164775
0.0001,10,15.0,1.5,100,1.0,0.005239695
0.0001,1500,15.0,1.5,100,1.0,0.005378465
0.0001,200,15.0,1.5,100,1.0,0.00523751
0.0001,20,15.0,1.5,100,1.0,0.005263315
0.0001,400,15.0,1.5,100,1.0,0.00530738
0.0001,40,15.0,1.5,100,1.0,0.00543427
0.0001,4,15.0,1.5,100,1.0,0.005405155
0.0001,600,15.0,1.5,100,1.0,0.005181565
0.0001,60,15.0,1.5,100,1.0,0.00518632
0.0001,800,15.0,1.5,100,1.0,0.005185385
0.0001,80,15.0,1.5,100,1.0,0.00520197
0.0001,8,15.0,1.5,100,1.0,0.00526662
0.00025,1000,15.0,1.5,100,1.0,0.00527084
0.00025,100,15.0,1.5,100,1.0,0.00513773
0.00025,10,15.0,1.5,100,1.0,0.005271255
0.00025,1500,15.0,1.5,100,1.0,0.00539026
0.00025,200,15.0,1.5,100,1.0,0.0050244
0.00025,20,15.0,1.5,100,1.0,0.005128865
0.00025,400,15.0,1.5,100,1.0,0.005242845
0.00025,40,15.0,1.5,100,1.0,0.005308545
0.00025,4,15.0,1.5,100,1.0,0.005330965
0.00025,600,15.0,1.5,100,1.0,0.005454665
0.00025,60,15.0,1.5,100,1.0,0.00528741
0.00025,800,15.0,1.5,100,1.0,0.00535613
0.00025,80,15.0,1.5,100,1.0,0.00534399
0.00025,8,15.0,1.5,100,1.0,0.005070695
0.0005,1000,15.0,1.5,100,1.0,0.00514162
0.0005,100,15.0,1.5,100,1.0,0.005380885
0.0005,10,15.0,1.5,100,1.0,0.00544012
0.0005,1500,15.0,1.5,100,1.0,0.00533092
0.0005,200,15.0,1.5,100,1.0,0.005424
0.0005,20,15.0,1.5,100,1.0,0.00531649
0.0005,400,15.0,1.5,100,1.0,0.0052484
0.0005,40,15.0,1.5,100,1.0,0.005255335
0.0005,4,15.0,1.5,100,1.0,0.005452745
0.0005,600,15.0,1.5,100,1.0,0.005247685
0.0005,60,15.0,1.5,100,1.0,0.00534071
0.0005,800,15.0,1.5,100,1.0,0.00543195
0.0005,80,15.0,1.5,100,1.0,0.00532091
0.0005,8,15.0,1.5,100,1.0,0.00529319
0.00075,1000,15.0,1.5,100,1.0,0.00538208
0.00075,100,15.0,1.5,100,1.0,0.005402705
0.00075,10,15.0,1.5,100,1.0,0.005144195
0.00075,1500,15.0,1.5,100,1.0,0.005101775
0.00075,200,15.0,1.5,100,1.0,0.005444445
0.00075,20,15.0,1.5,100,1.0,0.00562204
0.00075,400,15.0,1.5,100,1.0,0.005269075
0.00075,40,15.0,1.5,100,1.0,0.005298345
0.00075,4,15.0,1.5,100,1.0,0.005353965
0.00075,600,15.0,1.5,100,1.0,0.005169725
0.00075,60,15.0,1.5,100,1.0,0.0052313
0.00075,800,15.0,1.5,100,1.0,0.005450255
0.00075,80,15.0,1.5,100,1.0,0.00519394
0.00075,8,15.0,1.5,100,1.0,0.00526976
0.001,1000,15.0,1.5,100,1.0,0.00527475
0.001,100,15.0,1.5,100,1.0,0.005336425
0.001,10,15.0,1.5,100,1.0,0.005091145
0.001,1500,15.0,1.5,100,1.0,0.005237135
0.001,200,15.0,1.5,100,1.0,0.005417455
0.001,20,15.0,1.5,100,1.0,0.00520866
0.001,400,15.0,1.5,100,1.0,0.005212025
0.001,40,15.0,1.5,100,1.0,0.005530625
0.001,4,15.0,1.5,100,1.0,0.005393745
0.001,600,15.0,1.5,100,1.0,0.00524343
0.001,60,15.0,1.5,100,1.0,0.00543487
