birth,deltactcf,clife,cof,sep,face,frip
0.0001,1000,15.0,1.5,1000,1.0,0.0052836
0.0001,100,15.0,1.5,1000,1.0,0.00541085
0.0001,10,15.0,1.5,1000,1.0,0.00553505
0.0001,1500,15.0,1.5,1000,1.0,0.0058882
0.0001,200,15.0,1.5,1000,1.0,0.0049791
0.0001,20,15.0,1.5,1000,1.0,0.00577
0.0001,400,15.0,1.5,1000,1.0,0.0053108
0.0001,40,15.0,1.5,1000,1.0,0.005581
0.0001,4,15.0,1.5,1000,1.0,0.0052808
0.0001,600,15.0,1.5,1000,1.0,0.00536295
0.0001,60,15.0,1.5,1000,1.0,0.00530245
0.0001,800,15.0,1.5,1000,1.0,0.00537085
0.0001,80,15.0,1.5,1000,1.0,0.0055103
0.0001,8,15.0,1.5,1000,1.0,0.00528195
0.00025,1000,15.0,1.5,1000,1.0,0.0053307
0.00025,100,15.0,1.5,1000,1.0,0.00570985
0.00025,10,15.0,1.5,1000,1.0,0.00541415
0.00025,1500,15.0,1.5,1000,1.0,0.0051619
0.00025,200,15.0,1.5,1000,1.0,0.00569045
0.00025,20,15.0,1.5,1000,1.0,0.0055333
0.00025,400,15.0,1.5,1000,1.0,0.00511595
0.00025,40,15.0,1.5,1000,1.0,0.00571875
0.00025,4,15.0,1.5,1000,1.0,0.0052191
0.00025,600,15.0,1.5,1000,1.0,0.0052052
0.00025,60,15.0,1.5,1000,1.0,0.0054158
0.00025,800,15.0,1.5,1000,1.0,0.00562675
0.00025,80,15.0,1.5,1000,1.0,0.00522315
0.00025,8,15.0,1.5,1000,1.0,0.00533255
0.0005,1000,15.0,1.5,1000,1.0,0.00529595
0.0005,100,15.0,1.5,1000,1.0,0.005524
0.0005,10,15.0,1.5,1000,1.0,0.0052048
0.0005,1500,15.0,1.5,1000,1.0,0.0050096
0.0005,200,15.0,1.5,1000,1.0,0.0053867
0.0005,20,15.0,1.5,1000,1.0,0.0051351
0.0005,400,15.0,1.5,1000,1.0,0.0051687
0.0005,40,15.0,1.5,1000,1.0,0.00521805
0.0005,4,15.0,1.5,1000,1.0,0.0050624
0.0005,600,15.0,1.5,1000,1.0,0.00542285
0.0005,60,15.0,1.5,1000,1.0,0.00564345
0.0005,800,15.0,1.5,1000,1.0,0.00531495
0.0005,80,15.0,1.5,1000,1.0,0.00571785
0.0005,8,15.0,1.5,1000,1.0,0.00542155
0.00075,1000,15.0,1.5,1000,1.0,0.0052036
0.00075,100,15.0,1.5,1000,1.0,0.0054915
0.00075,10,15.0,1.5,1000,1.0,0.0052743
0.00075,1500,15.0,1.5,1000,1.0,0.005658
0.00075,200,15.0,1.5,1000,1.0,0.0052685
0.00075,20,15.0,1.5,1000,1.0,0.00526825
0.00075,400,15.0,1.5,1000,1.0,0.0051717
0.00075,40,15.0,1.5,1000,1.0,0.0056806
0.00075,4,15.0,1.5,1000,1.0,0.00550395
0.00075,600,15.0,1.5,1000,1.0,0.0054384
0.00075,60,15.0,1.5,1000,1.0,0.00570315
0.00075,800,15.0,1.5,1000,1.0,0.00546695
0.00075,80,15.0,1.5,1000,1.0,0.00509535
0.00075,8,15.0,1.5,1000,1.0,0.0047048
0.001,1000,15.0,1.5,1000,1.0,0.00523825
0.001,100,15.0,1.5,1000,1.0,0.0052453
