birth,deltactcf,clife,cof,sep,face,frip
0.0001,1000,30.0,3.0,100,1.0,0.016253690909090908
0.0001,100,30.0,3.0,100,1.0,0.015865609090909092
0.0001,10,30.0,3.0,100,1.0,0.01611982727272727
0.0001,1500,30.0,3.0,100,1.0,0.01631825
0.0001,200,30.0,3.0,100,1.0,0.01612039090909091
0.0001,20,30.0,3.0,100,1.0,0.016152381818181818
0.0001,400,30.0,3.0,100,1.0,0.016254431818181817
0.0001,40,30.0,3.0,100,1.0,0.016608395454545455
0.0001,4,30.0,3.0,100,1.0,0.016195195454545456
0.0001,800,30.0,3.0,100,1.0,0.016216936363636365
0.0001,80,30.0,3.0,100,1.0,0.016263804545454546
0.0001,8,30.0,3.0,100,1.0,0.016076336363636364
0.00025,1000,30.0,3.0,100,1.0,0.01628998181818182
0.00025,100,30.0,3.0,100,1.0,0.01623274090909091
0.00025,10,30.0,3.0,100,1.0,0.016392268181818184
0.00025,1500,30.0,3.0,100,1.0,0.01626811818181818
0.00025,200,30.0,3.0,100,1.0,0.016584913636363635
0.00025,20,30.0,3.0,100,1.0,0.01605638181818182
0.00025,400,30.0,3.0,100,1.0,0.016287772727272727
0.00025,40,30.0,3.0,100,1.0,0.01606843181818182
0.00025,4,30.0,3.0,100,1.0,0.015994531818181817
0.00025,800,30.0,3.0,100,1.0,0.0161718
0.00025,80,30.0,3.0,100,1.0,0.01619005
0.00025,8,30.0,3.0,100,1.0,0.016551054545454545
0.0005,1000,30.0,3.0,100,1.0,0.015957027272727273
0.0005,100,30.0,3.0,100,1.0,0.01662753181818182
0.0005,10,30.0,3.0,100,1.0,0.016648472727272726
0.0005,1500,30.0,3.0,100,1.0,0.01604644090909091
0.0005,200,30.0,3.0,100,1.0,0.016063872727272728
0.0005,20,30.0,3.0,100,1.0,0.01620375909090909
0.0005,400,30.0,3.0,100,1.0,0.016327204545454544
0.0005,40,30.0,3.0,100,1.0,0.01620081818181818
0.0005,4,30.0,3.0,100,1.0,0.016447613636363635
0.0005,800,30.0,3.0,100,1.0,0.016393795454545456
0.0005,80,30.0,3.0,100,1.0,0.016234613636363637
0.0005,8,30.0,3.0,100,1.0,0.016160086363636365
0.00075,1000,30.0,3.0,100,1.0,0.01668306818181818
0.00075,100,30.0,3.0,100,1.0,0.016457086363636363
0.00075,10,30.0,3.0,100,1.0,0.01691906818181818
0.00075,1500,30.0,3.0,100,1.0,0.016165204545454545
0.00075,200,30.0,3.0,100,1.0,0.016209836363636362
0.00075,20,30.0,3.0,100,1.0,0.016397740909090908
0.00075,400,30.0,3.0,100,1.0,0.016240077272727273
0.00075,40,30.0,3.0,100,1.0,0.01623835909090909
0.00075,4,30.0,3.0,100,1.0,0.016128077272727272
0.00075,800,30.0,3.0,100,1.0,0.01616302727272727
0.00075,80,30.0,3.0,100,1.0,0.01641302727272727
0.00075,8,30.0,3.0,100,1.0,0.016378745454545453
0.001,1000,30.0,3.0,100,1.0,0.01604938181818182
0.001,100,30.0,3.0,100,1.0,0.01655725
0.001,10,30.0,3.0,100,1.0,0.016548259090909092
0.001,1500,30.0,3.0,100,1.0,0.016338063636363635
0.001,200,30.0,3.0,100,1.0,0.016465563636363638
0.001,20,30.0,3.0,100,1.0,0.01647085
0.001,400,30.0,3.0,100,1.0,0.016026268181818182
0.001,40,30.0,3.0,100,1.0,0.01637715909090909
0.001,4,30.0,3.0,100,1.0,0.01651283181818182
0.001,800,30.0,3.0,100,1.0,0.016661863636363638
0.001,80,30.0,3.0,100,1.0,0.016317881818181817
0.001,8,30.0,3.0,100,1.0,0.016486327272727273
