birth,deltactcf,sep,occupancy,relative
0.0001,1000,1000,0.5,0.9750884788509776
0.0001,100,1000,0.5,1.0963179164795689
0.0001,1100,1000,0.5,1.0855236055038313
0.0001,1300,1000,0.5,1.0149752582689469
0.0001,1500,1000,0.5,1.141838454557241
0.0001,150,1000,0.5,1.002814462004763
0.0001,200,1000,0.5,0.9729399882164801
0.0001,300,1000,0.5,0.9646641481617986
0.0001,400,1000,0.5,1.1611972112438385
0.0001,500,1000,0.5,0.9146077650005693
0.0001,600,1000,0.5,1.1696664676277404
0.0001,700,1000,0.5,0.9969217238346526
0.0001,800,1000,0.5,0.9506012100788849
0.0001,900,1000,0.5,0.80956961664529
0.001,1000,1000,0.5,1.0086856508289046
0.001,100,1000,0.5,1.2414851770123765
0.001,1100,1000,0.5,1.242732558139535
0.001,1300,1000,0.5,1.1768126476467382
0.001,1500,1000,0.5,1.0301745732012795
0.001,150,1000,0.5,1.3119186785260484
0.001,200,1000,0.5,1.0863682812180666
0.001,300,1000,0.5,0.9031243781094528
0.001,400,1000,0.5,1.0252815625738363
0.001,500,1000,0.5,1.1524297646165527
0.001,600,1000,0.5,1.0593038821954484
0.001,700,1000,0.5,1.283596411265173
0.001,800,1000,0.5,0.9870714112020751
0.001,900,1000,0.5,0.9438626673647992
0.01,1000,1000,0.5,1.2010101421530692
0.01,100,1000,0.5,1.1579101358411703
0.01,1100,1000,0.5,1.1550115552512197
0.01,1300,1000,0.5,1.298682348779625
0.01,1500,1000,0.5,1.2087014306934563
0.01,150,1000,0.5,1.2631309954395344
0.01,200,1000,0.5,1.0999570664689122
0.01,300,1000,0.5,1.0204148831083306
0.01,400,1000,0.5,1.0781075995545486
0.01,500,1000,0.5,1.3393221559761515
0.01,600,1000,0.5,1.219159795838241
0.01,700,1000,0.5,1.104405528506361
0.01,800,1000,0.5,0.9923844629133776
0.01,900,1000,0.5,1.015937564181557
0.1,1000,1000,0.5,2.5369299177586275
0.1,100,1000,0.5,1.2263373658615007
0.1,1100,1000,0.5,1.9961447535915622
0.1,1300,1000,0.5,2.5597549745766104
0.1,1500,1000,0.5,2.5464207812809834
0.1,150,1000,0.5,1.3177674649871551
0.1,200,1000,0.5,1.4489221230980383
0.1,300,1000,0.5,1.4417611711019744
0.1,400,1000,0.5,1.7077536325061078
0.1,500,1000,0.5,1.8864073361928708
0.1,600,1000,0.5,1.879292959250252
0.1,700,1000,0.5,1.6909910919379236
0.1,800,1000,0.5,2.4536713601498072
