birth,life,deltactcf,clife,cof,sep,face,peakratio
0.0001,66,1000,17.0,17.0,74,1.0,0.17423416789576557
0.0001,66,100,17.0,17.0,74,1.0,0.17903010978643422
0.0001,66,10,17.0,17.0,74,1.0,0.17540212303343117
0.0001,66,200,17.0,17.0,74,1.0,0.17843531886869057
0.0001,66,20,17.0,17.0,74,1.0,0.17985653883682698
0.0001,66,400,17.0,17.0,74,1.0,0.1762393913525542
0.0001,66,40,17.0,17.0,74,1.0,0.18454405759379042
0.0001,66,4,17.0,17.0,74,1.0,0.17970807791903273
0.0001,66,800,17.0,17.0,74,1.0,0.18076545474964262
0.0001,66,80,17.0,17.0,74,1.0,0.1761063431808768
0.0001,66,8,17.0,17.0,74,1.0,0.1743674387027844
0.0002,66,1000,17.0,17.0,74,1.0,0.23515560466582883
0.0002,66,100,17.0,17.0,74,1.0,0.20061011880828716
0.0002,66,10,17.0,17.0,74,1.0,0.17218623091853194
0.0002,66,200,17.0,17.0,74,1.0,0.2088440035884325
0.0002,66,20,17.0,17.0,74,1.0,0.18450687246838512
0.0002,66,400,17.0,17.0,74,1.0,0.2237614643641728
0.0002,66,40,17.0,17.0,74,1.0,0.18095438747156703
0.0002,66,4,17.0,17.0,74,1.0,0.17730106240782345
0.0002,66,800,17.0,17.0,74,1.0,0.23071907265966593
0.0002,66,80,17.0,17.0,74,1.0,0.19550775399234568
0.0002,66,8,17.0,17.0,74,1.0,0.17796653730345158
0.0005,66,1000,17.0,17.0,74,1.0,0.2902642492031963
0.0005,66,100,17.0,17.0,74,1.0,0.23249852471443466
0.0005,66,10,17.0,17.0,74,1.0,0.18549876766551582
0.0005,66,200,17.0,17.0,74,1.0,0.2713286081082317
0.0005,66,20,17.0,17.0,74,1.0,0.18639634310539274
0.0005,66,400,17.0,17.0,74,1.0,0.2898773704991139
0.0005,66,40,17.0,17.0,74,1.0,0.21246653203888025
0.0005,66,4,17.0,17.0,74,1.0,0.18601114895870602
0.0005,66,800,17.0,17.0,74,1.0,0.29028893328474503
0.0005,66,80,17.0,17.0,74,1.0,0.22329442640172165
0.0005,66,8,17.0,17.0,74,1.0,0.1810959078105445
0.001,66,1000,17.0,17.0,74,1.0,0.3125411233716667
0.001,66,100,17.0,17.0,74,1.0,0.288216396593701
0.001,66,10,17.0,17.0,74,1.0,0.1963405203493397
0.001,66,200,17.0,17.0,74,1.0,0.3086498711455874
0.001,66,20,17.0,17.0,74,1.0,0.21149469008163466
0.001,66,400,17.0,17.0,74,1.0,0.3102898470109207
0.001,66,40,17.0,17.0,74,1.0,0.23298011096234136
0.001,66,4,17.0,17.0,74,1.0,0.18295465211708825
0.001,66,800,17.0,17.0,74,1.0,0.3104779805637017
0.001,66,80,17.0,17.0,74,1.0,0.2762726010487387
0.001,66,8,17.0,17.0,74,1.0,0.19229358529057788
0.005,66,1000,17.0,17.0,74,1.0,0.3080756332143743
0.005,66,100,17.0,17.0,74,1.0,0.3113999018804662
0.005,66,10,17.0,17.0,74,1.0,0.25685569236641453
0.005,66,200,17.0,17.0,74,1.0,0.31348379461287307
0.005,66,20,17.0,17.0,74,1.0,0.30448839197877975
0.005,66,400,17.0,17.0,74,1.0,0.3093070683121767
0.005,66,40,17.0,17.0,74,1.0,0.3316856428827709
0.005,66,4,17.0,17.0,74,1.0,0.22140156263563993
0.005,66,800,17.0,17.0,74,1.0,0.3122046691672102
0.005,66,80,17.0,17.0,74,1.0,0.3234619966658438
0.005,66,8,17.0,17.0,74,1.0,0.24398253661998606
0.01,66,100,17.0,17.0,74,1.0,0.3093209396096504
0.01,66,10,17.0,17.0,74,1.0,0.3035079059097993
0.01,66,200,17.0,17.0,74,1.0,0.3016614654658317
0.01,66,20,17.0,17.0,74,1.0,0.3329625832826991
0.01,66,400,17.0,17.0,74,1.0,0.29600468358368953
0.01,66,40,17.0,17.0,74,1.0,0.32448065190571035
0.01,66,4,17.0,17.0,74,1.0,0.24941053322564927
0.01,66,800,17.0,17.0,74,1.0,0.2879241914978016
0.01,66,80,17.0,17.0,74,1.0,0.31291984072500706
0.01,66,8,17.0,17.0,74,1.0,0.2869807351947099
0.05,66,100,17.0,17.0,74,1.0,0.31396325066670183
0.05,66,10,17.0,17.0,74,1.0,0.3270365443000523
0.05,66,20,17.0,17.0,74,1.0,0.3212757305413891
0.05,66,40,17.0,17.0,74,1.0,0.3147995914991334
0.05,66,4,17.0,17.0,74,1.0,0.33408251224115154
0.05,66,80,17.0,17.0,74,1.0,0.32002563909432097
0.05,66,8,17.0,17.0,74,1.0,0.3332875689701765
0.1,66,10,17.0,17.0,74,1.0,0.4339490602138396
0.1,66,20,17.0,17.0,74,1.0,0.46744991895271887
0.1,66,40,17.0,17.0,74,1.0,0.5257124803428355
0.1,66,4,17.0,17.0,74,1.0,0.3472979242267901
0.1,66,80,17.0,17.0,74,1.0,0.5927014421949071
0.1,66,8,17.0,17.0,74,1.0,0.38688933621633076
