Rad21,ctcf
13831,4772.727272727272
14207,9044.55445544554
11451,10369.001919385792
77144,14046.35761589404
292,1294.5205479452054
556,1300.45871559633
16574,9177.631578947365
12916,5291.338582677168
37527,8437.500000000007
16639,6171.630094043882
5626,2999.9999999999923
61507,10106.951871657751
34169,10500.000000000007
563,2591.772151898727
269,792.3018292682929
9621,12183.08823529412
14493,3530.172413793107
20470,9187.499999999996
50403,10446.96969696969
1095,1001.4450867052018
4873,3180.288461538463
46039,11411.676646706592
16566,5414.0625
29967,8361.11111111111
43739,7875.0
66772,11714.0625
29622,8344.043887147336
10918,5588.709677419349
15523,6039.379474940338
7541,2953.125
32488,8014.243614931244
13417,4915.086206896546
19401,7457.386363636372
8670,2303.3596837944738
625,807.6923076923078
3911,2751.213056903404
3502,3700.819672131141
19507,3134.7087378640745
8495,6458.333333333333
1813,1544.1176470588234
14574,3126.1814744801445
32993,8712.765957446807
29556,7269.230769230776
23969,7532.608695652168
21466,12554.34782608695
37516,10407.079646017692
58778,13588.23529411765
37598,11905.737704918032
26716,10258.223684210525
43078,10080.0
24363,7022.292993630573
20936,7723.557692307686
28798,7532.608695652168
62168,12303.191489361694
2799,1397.177419354838
30276,8488.636363636364
12003,4442.307692307691
20812,5615.217391304351
30980,6096.774193548381
8961,1665.8653846153884
54244,11539.062500000002
38038,11812.5
38582,7639.925373134334
20380,11261.658031088078
14831,1544.1176470588232
1269,1676.8060836501872
362,9289.356984478934
116,787.5000000000001
37976,7957.894736842108
11666,4500.000000000005
702,1431.8181818181815
57295,11812.5
1790,1046.9653179190757
40924,6582.0895522388055
49990,10789.370078740158
57540,10480.48327137546
2078,1401.6393442622953
40826,6975.000000000004
12403,4957.17131474104
28078,8344.043887147336
638,824.1279069767436
16298,2885.496183206106
8870,4536.684782608702
19150,6671.397379912665
23882,10654.41176470588
1799,2723.684210526321
13986,8134.951456310679
4493,1804.6874999999952
29227,9460.750853242316
30511,11676.276771004945
7745,2916.666666666664
28257,7875.0
4480,7875.0
18762,5624.999999999997
16878,6226.744186046505
11875,6769.736842105268
1201,1601.694915254233
16354,5938.524590163936
23996,6409.88372093024
3699,2145.652173913043
297,2714.727272727267
33554,10730.769230769223
52160,10641.891891891895
4029,2009.2592592592537
20564,6523.66863905326
14725,6942.434210526323
5225,3323.863636363636
27241,9916.666666666672
6980,8023.584905660379
17792,7222.3756906077315
30183,6990.641711229943
43908,9889.534883720931
2886,3727.0992366412247
16085,8061.233108108103
10205,5127.906976744182
16652,5585.463258785943
4079,4625.87412587413
24872,7343.84164222874
9287,4632.3529411764775
435,3013.043478260869
4278,1340.4255319148936
4404,6579.113924050636
4234,954.1382252559728
18792,5173.913043478256
1487,834.4370860927148
5484,2967.391304347822
2495,2957.142857142852
30962,8999.999999999993
39170,12464.028776978415
22799,4464.56692913386
324,2036.1216730038027
9695,3297.833935018056
40453,9896.551724137931
18268,8330.299785867244
10554,2618.5819070904563
6752,2312.937062937065
32824,8384.03041825095
8897,2217.509025270761
17371,9031.99052132701
3431,1150.6849315068494
712,984.375
8536,2604.330708661411
27105,9749.999999999998
672,1986.4864864864849
7568,2021.3903743315536
28415,10457.66129032258
4941,6562.500000000005
14183,8195.12195121952
318,7630.434782608695
21509,7990.24390243903
28597,6906.151419558362
10675,1857.3113207547208
5619,2936.4406779661063
12488,2214.8437500000005
290,828.9473684210521
24665,9551.020408163262
14823,9348.387096774191
20431,5553.947368421046
6343,3592.1052631578877
58154,8806.451612903233
64822,11408.65384615384
13673,2925.000000000004
665,863.013698630137
5916,1813.636363636361
15247,6656.250000000006
9368,1847.507331378303
23637,8338.235294117641
63948,13195.945945945949
2005,2095.766129032253
13064,7671.58671586715
7160,3173.5074626865694
7075,3655.0632911392377
13714,8205.41958041958
14645,10349.999999999996
20436,6385.1351351351295
17108,4182.572614107889
2678,1566.7539267015702
10831,7314.853556485362
19164,12685.669456066946
1457,2615.7243816254404
9383,2222.972972972971
4779,3278.810408921933
16762,6895.725388601033
3342,1291.4999999999998
11105,3414.335664335668
8382,8365.384615384613
8247,2328.793774319061
1955,961.8320610687018
9101,10730.769230769223
17397,8942.796610169498
1854,2887.4999999999945
2944,1909.0909090909056
18145,10367.47572815534
32222,8217.391304347833
44580,8295.000000000004
33451,11509.615384615388
18538,2964.2857142857088
25745,9175.233644859807
45886,8671.348314606741
19089,4318.548387096777
11412,4167.0403587443925
997,1211.5384615384614
32935,7265.238879736404
18115,6781.250000000007
6937,883.6633663366337
2823,1676.8060836501872
22817,10418.47826086957
18587,9450.0
4160,1601.694915254233
54400,11812.5
58990,10083.841463414628
25020,7973.4375
26645,8925.000000000005
41939,10265.175718849849
43054,10500.000000000004
6389,2999.9999999999923
12912,10301.886792452824
7483,2489.100817438699
41767,8134.615384615392
29753,6589.54041204438
23295,7192.196531791914
34257,9648.648648648654
18283,4232.8125
5379,3088.834951456311
22414,7843.873517786565
5049,1832.082551594741
32338,9099.264705882357
26458,9183.53474320242
11107,11418.032786885253
42803,10121.757925072045
15011,4156.250000000003
15700,7388.181818181816
5046,2031.449044585984
8806,2590.460526315785
6691,3249.9999999999945
2363,4582.627118644065
2086,1868.6440677966075
26204,7411.764705882358
39983,10822.36842105264
14656,4846.153846153851
1201,957.77027027027
13330,4356.382978723404
28546,4356.382978723404
40282,11645.45454545454
32710,8062.500000000001
12977,2995.677233429391
5984,1936.0465116279047
2277,1300.45871559633
1070,1254.4247787610614
17525,5871.045392022006
648,1424.4186046511627
14470,12163.36633663366
402,787.5000000000001
21147,7275.815217391298
3474,2362.5
48108,10714.833759590794
1668,1215.4340836012866
50630,10709.999999999998
13092,8523.529411764703
56578,12468.750000000004
29415,6473.300970873792
27347,10738.636363636366
14106,9362.499999999993
6123,5901.639344262302
36315,9907.258064516129
16228,6611.111111111109
479,3294.412607449861
45530,9785.50295857988
54194,12014.423076923078
5923,9078.8920056101
4648,4614.649681528656
29567,8437.500000000005
44475,12997.572815533982
16422,8835.365853658543
72365,10388.29787234042
8481,10772.727272727274
36805,10639.07284768212
28501,9356.435643564357
26697,8498.20143884892
512,1014.5705521472388
41160,14284.883720930226
45169,10058.823529411766
52134,8129.032258064522
27879,7560.0
17319,10478.571428571437
4204,4080.6818181818167
3344,837.7659574468082
10081,2979.729729729727
14699,9109.979633401226
8783,5604.294478527611
8072,4921.875
19117,4691.489361702129
16689,4390.664961636829
18237,9950.980392156856
38492,11688.679245283016
23912,7464.13043478261
13986,12651.639344262292
14720,7840.369393139838
28493,6078.947368421057
10308,9905.660377358492
205,3499.9999999999964
20782,10141.30434782608
7874,3864.130434782604
39607,8971.874999999998
26477,5781.6455696202565
15434,2470.588235294114
34070,9348.02158273381
46200,10874.99999999999
14980,4353.2608695652125
45057,10738.636363636366
5438,3088.2352941176464
2863,2377.3584905660364
24873,6485.29411764706
43120,10328.431372549025
257,1384.3283582089553
357,1223.300970873787
5814,4120.639534883718
18059,4875.000000000007
25264,8809.322033898305
24792,3686.170212765952
17186,4781.250000000006
25380,12028.846153846156
14463,4114.466292134835
16689,4865.85365853658
40889,10250.000000000004
50084,10571.91780821918
39849,9772.590361445777
46231,9711.462450592886
4552,2213.5135135135206
52341,9469.936708860758
43628,9413.793103448268
4149,2041.666666666672
5545,1687.4999999999975
1004,807.692307692308
9567,9792.496171516086
15150,3510.000000000002
14825,3923.076923076922
36868,9291.841004184103
16434,4746.575342465759
12533,5640.202702702701
31736,6844.240837696341
1601,1309.5898004434596
39454,12044.117647058822
7415,2863.6363636363662
2382,1461.3402061855672
20468,3656.8965517241377
41446,9966.796875
1988,1124.9999999999995
15621,4714.968152866245
5299,1469.999999999999
7237,4131.147540983604
39197,11025.0
9273,5451.923076923075
31181,7545.348837209294
60290,11340.0
1440,800.847457627118
33754,10007.09606986899
37914,8289.473684210523
303,1355.3412462908009
25176,6622.159090909084
9545,8156.250000000003
42189,10667.330677290827
40002,9268.269230769223
45873,10710.0
3920,1057.835820895522
17824,7875.0
31525,8016.129032258072
50199,8692.622950819674
55401,10654.41176470588
3228,1744.830132939432
18824,4899.999999999998
15803,7744.061757719716
28565,6282.051282051284
54119,11134.88372093024
12138,7454.198473282448
58725,11145.127118644072
3451,3445.3125
3740,4347.2850678732975
49361,12126.106194690268
10589,7457.386363636372
16172,3274.0700218818324
13079,3923.076923076922
8530,2222.972972972971
2794,1949.709864603485
33930,10823.459715639803
19455,8934.210526315788
32137,8367.1875
1020,807.692307692308
3396,2410.227272727272
23968,7575.949367088607
9293,1876.0387811634312
43740,10772.405660377352
35681,8550.000000000004
10141,6948.529411764703
24804,4225.609756097557
42861,8708.823529411762
26416,9288.461538461544
949,1025.0
11419,6724.315068493143
29079,10500.000000000004
17252,6133.413461538463
56971,11462.041884816748
24389,9450.0
2764,1243.4210526315785
866,6022.058823529418
16248,5249.9999999999945
21611,5353.096676737163
7613,5482.04419889502
130,787.5000000000001
4082,1161.8852459016396
21858,7102.941176470592
5144,2476.8145161290317
51258,9696.61921708185
35335,9987.804878048786
13074,5583.333333333326
14401,4358.490566037741
23188,6934.426229508199
5159,1473.0215827338127
353,807.6923076923078
28890,9124.999999999996
38064,7607.547169811316
7489,2520.0
51801,13432.274247491634
36098,10335.9375
47422,8875.182481751832
13669,6304.216867469877
23992,11148.876404494384
32029,7372.340425531918
5607,4789.473684210527
41235,10937.499999999996
24517,7119.195046439632
5941,2105.61497326204
37175,12041.424418604647
22897,11849.999999999996
36307,10028.84615384616
8159,4700.892857142857
25037,9633.495145631065
14614,5414.0625
36704,10526.582278481015
16228,5175.000000000006
297,793.1654676258988
13636,5820.652173913038
15505,9947.368421052632
1159,1227.272727272727
24223,11720.93023255814
33165,9079.41176470588
37828,11312.355658198614
1589,1465.1162790697674
30320,8194.649446494457
40543,9100.446428571437
17524,6283.678756476682
17603,6975.000000000004
6772,2901.3157894736764
32815,10117.549668874177
4913,2377.3584905660364
22477,11029.069767441868
7708,7031.2499999999945
44947,12514.188422247453
4707,4660.714285714289
29565,11906.250000000002
44564,6684.146341463415
545,955.9248554913294
12481,7921.052631578945
37146,10569.078947368414
8404,8946.745562130185
22159,7437.499999999995
1347,4452.8795811518285
54408,9408.069883527462
10938,4401.369863013706
14779,4921.875
20877,3821.311475409834
29533,12497.282608695648
11955,2958.563535911597
3083,2967.391304347822
1598,2739.130434782611
3314,1858.819796954316
44188,10399.038461538456
49563,9556.930693069313
1159,1396.5517241379316
19413,9821.2927756654
41478,9885.638297872338
29853,11312.63919821826
3951,2544.8833034111344
17205,3449.6681415929143
5060,2454.545454545457
16423,5976.92307692307
33174,8989.0243902439
27221,12140.624999999996
23780,7744.061757719717
59139,11685.483870967746
23840,8665.048543689325
6811,2441.2500000000005
7091,2877.6508972267607
6358,2863.6363636363667
11994,2227.0017035775127
1340,821.629213483146
38520,11812.500000000002
26458,7525.969529085866
9121,7312.499999999995
26163,6011.450381679387
13837,3365.3846153846207
10422,3351.0638297872424
38020,6113.207547169805
26671,9092.465753424653
36104,8940.133037694017
38586,11274.590163934425
1266,2410.227272727272
47641,10730.769230769223
628,918.5248713550598
21163,11396.984924623112
11299,3965.558194774355
7977,1001.4450867052018
7469,6072.289156626508
6229,4706.17529880478
11967,4269.999999999999
18808,6611.1111111111095
32068,11047.183098591544
40972,11208.588957055208
20978,10785.326086956518
15472,2990.506329113924
17781,5721.618953603164
