birth,deltactcf,sep,face,frip
0.0001,1000,1000,1.0,0.00028083333333333335
0.0001,100,1000,1.0,0.000387
0.0001,10,1000,1.0,0.0003535
0.0001,1100,1000,1.0,0.0006073333333333333
0.0001,1300,1000,1.0,0.00031483333333333336
0.0001,1500,1000,1.0,0.0005765
0.0001,150,1000,1.0,0.00039966666666666666
0.0001,200,1000,1.0,0.00027666666666666665
0.0001,3000,1000,1.0,0.0006046666666666667
0.0001,300,1000,1.0,0.0003985
0.0001,30,1000,1.0,0.0006853333333333334
0.0001,400,1000,1.0,0.0005078333333333333
0.0001,500,1000,1.0,0.0005291666666666667
0.0001,50,1000,1.0,0.0005105
0.0001,600,1000,1.0,0.000557
0.0001,700,1000,1.0,0.0002805
0.0001,800,1000,1.0,0.00041833333333333333
0.0001,900,1000,1.0,0.0002895
0.001,1000,1000,1.0,0.00018833333333333332
0.001,100,1000,1.0,0.00020416666666666668
0.001,10,1000,1.0,0.00035466666666666665
0.001,1100,1000,1.0,0.0001975
0.001,1300,1000,1.0,0.0004158333333333333
0.001,1500,1000,1.0,0.0005018333333333333
0.001,150,1000,1.0,0.00032283333333333334
0.001,200,1000,1.0,0.00016366666666666667
0.001,3000,1000,1.0,0.000337
0.001,300,1000,1.0,0.0003111666666666667
0.001,30,1000,1.0,0.00047966666666666665
0.001,400,1000,1.0,0.0004048333333333333
0.001,500,1000,1.0,0.00027833333333333334
0.001,50,1000,1.0,0.00042133333333333335
0.001,600,1000,1.0,0.000279
0.001,700,1000,1.0,0.0003153333333333333
0.001,800,1000,1.0,0.00039183333333333333
0.001,900,1000,1.0,0.00038366666666666665
0.01,1000,1000,1.0,0.0006938333333333333
0.01,100,1000,1.0,0.0005358333333333334
0.01,10,1000,1.0,0.0008203333333333333
0.01,1100,1000,1.0,0.00040816666666666665
0.01,1300,1000,1.0,0.0001965
0.01,1500,1000,1.0,0.0004448333333333333
0.01,150,1000,1.0,0.0005163333333333334
0.01,200,1000,1.0,0.00041066666666666666
0.01,3000,1000,1.0,0.00042366666666666665
0.01,300,1000,1.0,0.0002625
0.01,30,1000,1.0,0.0008353333333333333
0.01,400,1000,1.0,0.0002601666666666667
0.01,500,1000,1.0,0.000441
0.01,50,1000,1.0,0.000733
0.01,600,1000,1.0,0.00027133333333333333
0.01,700,1000,1.0,0.000291
0.01,800,1000,1.0,0.0004153333333333333
0.01,900,1000,1.0,0.00014433333333333334
0.1,1000,1000,1.0,0.0003035
0.1,100,1000,1.0,0.0027356666666666666
0.1,10,1000,1.0,0.004865166666666667
0.1,1100,1000,1.0,0.0006688333333333333
0.1,1300,1000,1.0,0.0003328333333333333
0.1,1500,1000,1.0,0.0005251666666666666
0.1,150,1000,1.0,0.002084
0.1,200,1000,1.0,0.0010925
0.1,3000,1000,1.0,0.0002495
0.1,300,1000,1.0,0.0006055
0.1,30,1000,1.0,0.0048695
0.1,400,1000,1.0,0.0004085
0.1,500,1000,1.0,0.0003691666666666667
0.1,50,1000,1.0,0.003974333333333333
0.1,600,1000,1.0,0.0004953333333333333
0.1,700,1000,1.0,0.000207
0.1,800,1000,1.0,0.000297
0.1,900,1000,1.0,0.0004558333333333333
0.3,1000,1000,1.0,0.00027583333333333333
0.3,100,1000,1.0,0.00616
0.3,10,1000,1.0,0.0158775
0.3,1100,1000,1.0,0.00040466666666666667
0.3,1300,1000,1.0,0.00030733333333333334
0.3,1500,1000,1.0,0.00036216666666666667
0.3,150,1000,1.0,0.0040035
0.3,200,1000,1.0,0.002971
0.3,3000,1000,1.0,0.000334
0.3,300,1000,1.0,0.0012456666666666666
0.3,30,1000,1.0,0.011992
0.3,400,1000,1.0,0.0005733333333333334
0.3,500,1000,1.0,0.0005328333333333333
0.3,50,1000,1.0,0.010356
0.3,600,1000,1.0,0.000356
0.3,700,1000,1.0,0.0002711666666666667
0.3,800,1000,1.0,0.00027666666666666665
0.3,900,1000,1.0,0.00044016666666666667
0.5,1000,1000,1.0,0.000193
0.5,100,1000,1.0,0.0086445
0.5,10,1000,1.0,0.022799
0.5,1100,1000,1.0,0.0004423333333333333
0.5,1300,1000,1.0,0.00016783333333333334
