birth,deltactcf,clife,cof,sep,face,frip
0.0001,1000,15.0,1.5,1000,1.0,0.0054693
0.0001,100,15.0,1.5,1000,1.0,0.0056016
0.0001,10,15.0,1.5,1000,1.0,0.0057298
0.0001,1500,15.0,1.5,1000,1.0,0.00608475
0.0001,200,15.0,1.5,1000,1.0,0.0051645
0.0001,20,15.0,1.5,1000,1.0,0.0059639
0.0001,400,15.0,1.5,1000,1.0,0.0055058
0.0001,40,15.0,1.5,1000,1.0,0.0057727
0.0001,4,15.0,1.5,1000,1.0,0.00546775
0.0001,600,15.0,1.5,1000,1.0,0.00555135
0.0001,60,15.0,1.5,1000,1.0,0.00549025
0.0001,800,15.0,1.5,1000,1.0,0.00555965
0.0001,80,15.0,1.5,1000,1.0,0.0057014
0.0001,8,15.0,1.5,1000,1.0,0.0054711
0.00025,1000,15.0,1.5,1000,1.0,0.005521
0.00025,100,15.0,1.5,1000,1.0,0.0058965
0.00025,10,15.0,1.5,1000,1.0,0.0056083
0.00025,1500,15.0,1.5,1000,1.0,0.0053466
0.00025,200,15.0,1.5,1000,1.0,0.0058856
0.00025,20,15.0,1.5,1000,1.0,0.0057235
0.00025,400,15.0,1.5,1000,1.0,0.0053033
0.00025,40,15.0,1.5,1000,1.0,0.0059132
0.00025,4,15.0,1.5,1000,1.0,0.0054152
0.00025,600,15.0,1.5,1000,1.0,0.0053945
0.00025,60,15.0,1.5,1000,1.0,0.00560525
0.00025,800,15.0,1.5,1000,1.0,0.0058227
0.00025,80,15.0,1.5,1000,1.0,0.0054171
0.00025,8,15.0,1.5,1000,1.0,0.00552255
0.0005,1000,15.0,1.5,1000,1.0,0.00548585
0.0005,100,15.0,1.5,1000,1.0,0.0057189
0.0005,10,15.0,1.5,1000,1.0,0.0053947
0.0005,1500,15.0,1.5,1000,1.0,0.00519735
0.0005,200,15.0,1.5,1000,1.0,0.00557355
0.0005,20,15.0,1.5,1000,1.0,0.0053246
0.0005,400,15.0,1.5,1000,1.0,0.00535705
0.0005,40,15.0,1.5,1000,1.0,0.00540565
0.0005,4,15.0,1.5,1000,1.0,0.005251
0.0005,600,15.0,1.5,1000,1.0,0.0056108
0.0005,60,15.0,1.5,1000,1.0,0.0058388
0.0005,800,15.0,1.5,1000,1.0,0.00549835
0.0005,80,15.0,1.5,1000,1.0,0.00590545
0.0005,8,15.0,1.5,1000,1.0,0.0056121
0.00075,1000,15.0,1.5,1000,1.0,0.00539455
0.00075,100,15.0,1.5,1000,1.0,0.00569055
0.00075,10,15.0,1.5,1000,1.0,0.00546735
0.00075,1500,15.0,1.5,1000,1.0,0.00585035
0.00075,200,15.0,1.5,1000,1.0,0.00545105
0.00075,20,15.0,1.5,1000,1.0,0.00546175
0.00075,400,15.0,1.5,1000,1.0,0.00535965
0.00075,40,15.0,1.5,1000,1.0,0.0058708
0.00075,4,15.0,1.5,1000,1.0,0.00568825
0.00075,600,15.0,1.5,1000,1.0,0.00563055
0.00075,60,15.0,1.5,1000,1.0,0.0058975
0.00075,800,15.0,1.5,1000,1.0,0.0056589
0.00075,80,15.0,1.5,1000,1.0,0.0052756
0.00075,8,15.0,1.5,1000,1.0,0.00489215
0.001,1000,15.0,1.5,1000,1.0,0.0054279
0.001,100,15.0,1.5,1000,1.0,0.00543095
0.001,10,15.0,1.5,1000,1.0,0.00554265
0.001,1500,15.0,1.5,1000,1.0,0.0057894
0.001,200,15.0,1.5,1000,1.0,0.0056793
0.001,20,15.0,1.5,1000,1.0,0.00544665
0.001,400,15.0,1.5,1000,1.0,0.00571355
0.001,40,15.0,1.5,1000,1.0,0.00575035
0.001,4,15.0,1.5,1000,1.0,0.005546
0.001,600,15.0,1.5,1000,1.0,0.0062097
0.001,60,15.0,1.5,1000,1.0,0.0052985
0.001,800,15.0,1.5,1000,1.0,0.0052308
0.001,80,15.0,1.5,1000,1.0,0.00513255
0.001,8,15.0,1.5,1000,1.0,0.0061982
0.0025,1000,15.0,1.5,1000,1.0,0.0056506
0.0025,100,15.0,1.5,1000,1.0,0.0058714
0.0025,10,15.0,1.5,1000,1.0,0.0056494
0.0025,1500,15.0,1.5,1000,1.0,0.00510415
0.0025,200,15.0,1.5,1000,1.0,0.00578065
0.0025,20,15.0,1.5,1000,1.0,0.00565545
0.0025,400,15.0,1.5,1000,1.0,0.00596525
0.0025,40,15.0,1.5,1000,1.0,0.00543775
0.0025,4,15.0,1.5,1000,1.0,0.00554735
0.0025,600,15.0,1.5,1000,1.0,0.0056872
0.0025,60,15.0,1.5,1000,1.0,0.00590115
0.0025,800,15.0,1.5,1000,1.0,0.0054887
0.0025,80,15.0,1.5,1000,1.0,0.0060215
0.0025,8,15.0,1.5,1000,1.0,0.0054503
0.005,1000,15.0,1.5,1000,1.0,0.00566025
0.005,100,15.0,1.5,1000,1.0,0.00613885
0.005,10,15.0,1.5,1000,1.0,0.00581865
0.005,1500,15.0,1.5,1000,1.0,0.0054775
0.005,200,15.0,1.5,1000,1.0,0.0061857
0.005,20,15.0,1.5,1000,1.0,0.0058975
0.005,400,15.0,1.5,1000,1.0,0.0055686
0.005,40,15.0,1.5,1000,1.0,0.00598825
0.005,4,15.0,1.5,1000,1.0,0.00611905
0.005,600,15.0,1.5,1000,1.0,0.00563925
0.005,60,15.0,1.5,1000,1.0,0.0063283
0.005,800,15.0,1.5,1000,1.0,0.00583195
0.005,80,15.0,1.5,1000,1.0,0.0062131
0.005,8,15.0,1.5,1000,1.0,0.00611325
0.0075,1000,15.0,1.5,1000,1.0,0.00558535
