birth,deltactcf,clife,cof,sep,face,frip
0.0001,1000,30.0,3.0,500,1.0,0.01740059090909091
0.0001,100,30.0,3.0,500,1.0,0.018045431818181818
0.0001,10,30.0,3.0,500,1.0,0.01807609090909091
0.0001,1500,30.0,3.0,500,1.0,0.01721197727272727
0.0001,200,30.0,3.0,500,1.0,0.017226613636363637
0.0001,20,30.0,3.0,500,1.0,0.017416227272727274
0.0001,400,30.0,3.0,500,1.0,0.017652636363636363
0.0001,40,30.0,3.0,500,1.0,0.01808972727272727
0.0001,4,30.0,3.0,500,1.0,0.01792181818181818
0.0001,800,30.0,3.0,500,1.0,0.017545772727272726
0.0001,80,30.0,3.0,500,1.0,0.017021386363636364
0.0001,8,30.0,3.0,500,1.0,0.016782318181818183
0.00025,1000,30.0,3.0,500,1.0,0.01728265909090909
0.00025,100,30.0,3.0,500,1.0,0.01791384090909091
0.00025,10,30.0,3.0,500,1.0,0.01823381818181818
0.00025,1500,30.0,3.0,500,1.0,0.017234409090909092
0.00025,200,30.0,3.0,500,1.0,0.01695084090909091
0.00025,20,30.0,3.0,500,1.0,0.017679522727272728
0.00025,400,30.0,3.0,500,1.0,0.01742140909090909
0.00025,40,30.0,3.0,500,1.0,0.016920454545454544
0.00025,4,30.0,3.0,500,1.0,0.017684204545454545
0.00025,800,30.0,3.0,500,1.0,0.016738909090909092
0.00025,80,30.0,3.0,500,1.0,0.017290090909090908
0.00025,8,30.0,3.0,500,1.0,0.01721959090909091
0.0005,1000,30.0,3.0,500,1.0,0.017156113636363636
0.0005,100,30.0,3.0,500,1.0,0.017487727272727273
0.0005,10,30.0,3.0,500,1.0,0.017907136363636365
0.0005,1500,30.0,3.0,500,1.0,0.016784545454545455
0.0005,200,30.0,3.0,500,1.0,0.01739131818181818
0.0005,20,30.0,3.0,500,1.0,0.018036136363636365
0.0005,400,30.0,3.0,500,1.0,0.01742425
0.0005,40,30.0,3.0,500,1.0,0.017590045454545455
0.0005,4,30.0,3.0,500,1.0,0.017674
0.0005,800,30.0,3.0,500,1.0,0.01704465909090909
0.0005,80,30.0,3.0,500,1.0,0.016936659090909092
0.0005,8,30.0,3.0,500,1.0,0.017149431818181817
0.00075,1000,30.0,3.0,500,1.0,0.017024954545454545
0.00075,100,30.0,3.0,500,1.0,0.016857204545454547
0.00075,10,30.0,3.0,500,1.0,0.0179275
0.00075,1500,30.0,3.0,500,1.0,0.017445909090909092
0.00075,200,30.0,3.0,500,1.0,0.017460409090909092
0.00075,20,30.0,3.0,500,1.0,0.01758702272727273
0.00075,400,30.0,3.0,500,1.0,0.01751752272727273
0.00075,40,30.0,3.0,500,1.0,0.017971636363636363
0.00075,4,30.0,3.0,500,1.0,0.017102590909090908
0.00075,800,30.0,3.0,500,1.0,0.017214727272727274
0.00075,80,30.0,3.0,500,1.0,0.018219886363636365
0.00075,8,30.0,3.0,500,1.0,0.017303363636363638
0.001,1000,30.0,3.0,500,1.0,0.017789340909090907
0.001,100,30.0,3.0,500,1.0,0.018081136363636365
0.001,10,30.0,3.0,500,1.0,0.017446886363636362
0.001,1500,30.0,3.0,500,1.0,0.017498522727272727
0.001,200,30.0,3.0,500,1.0,0.017728704545454544
0.001,20,30.0,3.0,500,1.0,0.017757613636363637
0.001,400,30.0,3.0,500,1.0,0.017059545454545456
0.001,40,30.0,3.0,500,1.0,0.017628295454545456
0.001,4,30.0,3.0,500,1.0,0.01715831818181818
0.001,800,30.0,3.0,500,1.0,0.01759243181818182
0.001,80,30.0,3.0,500,1.0,0.019289113636363635
0.001,8,30.0,3.0,500,1.0,0.01876225
0.0025,1000,30.0,3.0,500,1.0,0.018250181818181818
0.0025,100,30.0,3.0,500,1.0,0.01843759090909091
0.0025,10,30.0,3.0,500,1.0,0.018407295454545454
0.0025,1500,30.0,3.0,500,1.0,0.01801965909090909
0.0025,200,30.0,3.0,500,1.0,0.018311045454545455
0.0025,20,30.0,3.0,500,1.0,0.017903068181818183
0.0025,400,30.0,3.0,500,1.0,0.01801377272727273
0.0025,40,30.0,3.0,500,1.0,0.019049795454545455
0.0025,4,30.0,3.0,500,1.0,0.017549704545454545
