birth,deltactcf,clife,cof,sep,face,frip
0.0001,1000,30.0,3.0,100,1.0,0.01638572285742858
0.0001,1000,30.0,3.0,500,1.0,0.017040134671155706
0.0001,100,30.0,3.0,100,1.0,0.016025847528250942
0.0001,100,30.0,3.0,500,1.0,0.017074252475082503
0.0001,10,30.0,3.0,100,1.0,0.01591135704523484
0.0001,10,30.0,3.0,500,1.0,0.01737166238874629
0.0001,1500,30.0,3.0,100,1.0,0.016305010167005567
0.0001,1500,30.0,3.0,500,1.0,0.017246441548051602
0.0001,200,30.0,3.0,100,1.0,0.016204976832561085
0.0001,200,30.0,3.0,500,1.0,0.018392863095436515
0.0001,20,30.0,3.0,100,1.0,0.01602983099436648
0.0001,20,30.0,3.0,500,1.0,0.0176771392379746
0.0001,3000,30.0,3.0,100,1.0,0.016433774459148637
0.0001,3000,30.0,3.0,500,1.0,0.017194606486882896
0.0001,400,30.0,3.0,100,1.0,0.015890756358545286
0.0001,400,30.0,3.0,500,1.0,0.01709061968732291
0.0001,40,30.0,3.0,100,1.0,0.016286892896429882
0.0001,40,30.0,3.0,500,1.0,0.017660905363512117
0.0001,4,30.0,3.0,100,1.0,0.016009640321344044
0.0001,4,30.0,3.0,500,1.0,0.01705100170005667
0.0001,800,30.0,3.0,100,1.0,0.01629402646754892
0.0001,800,30.0,3.0,500,1.0,0.017041218040601352
0.0001,80,30.0,3.0,100,1.0,0.01623836127870929
0.0001,80,30.0,3.0,500,1.0,0.017508283609453647
0.0001,8,30.0,3.0,100,1.0,0.016750628354278475
0.0001,8,30.0,3.0,500,1.0,0.017413747124904164
0.00025,1000,30.0,3.0,100,1.0,0.01606424547484916
0.00025,1000,30.0,3.0,500,1.0,0.017951998399946666
0.00025,100,30.0,3.0,100,1.0,0.016506613553785125
0.00025,100,30.0,3.0,500,1.0,0.01782917763925464
0.00025,10,30.0,3.0,100,1.0,0.01643085436181206
0.00025,10,30.0,3.0,500,1.0,0.017263392113070437
0.00025,1500,30.0,3.0,100,1.0,0.016147984932831094
0.00025,1500,30.0,3.0,500,1.0,0.0180363678789293
0.00025,200,30.0,3.0,100,1.0,0.016404766825560853
0.00025,200,30.0,3.0,500,1.0,0.018268058935297843
0.00025,20,30.0,3.0,100,1.0,0.016307553585119504
0.00025,20,30.0,3.0,500,1.0,0.017434947831594386
0.00025,3000,30.0,3.0,100,1.0,0.01648547284909497
0.00025,3000,30.0,3.0,500,1.0,0.01693791459715324
0.00025,400,30.0,3.0,100,1.0,0.016339381312710424
0.00025,400,30.0,3.0,500,1.0,0.01725425847528251
0.00025,40,30.0,3.0,100,1.0,0.016533561118703955
0.00025,40,30.0,3.0,500,1.0,0.01739841328044268
0.00025,4,30.0,3.0,100,1.0,0.016262822094069804
0.00025,4,30.0,3.0,500,1.0,0.017524367478915965
0.00025,800,30.0,3.0,100,1.0,0.016168288942964765
0.00025,800,30.0,3.0,500,1.0,0.018012583752791758
0.00025,80,30.0,3.0,100,1.0,0.01616720224007467
0.00025,80,30.0,3.0,500,1.0,0.0174807326910897
0.00025,8,30.0,3.0,100,1.0,0.016493793126437548
0.00025,8,30.0,3.0,500,1.0,0.017242258075269176
0.0005,1000,30.0,3.0,100,1.0,0.016021090703023433
0.0005,1000,30.0,3.0,500,1.0,0.01739609653655122
0.0005,100,30.0,3.0,100,1.0,0.016338421280709357
0.0005,100,30.0,3.0,500,1.0,0.017924964165472183
0.0005,10,30.0,3.0,100,1.0,0.01640128004266809
0.0005,10,30.0,3.0,500,1.0,0.017664622154071802
0.0005,1500,30.0,3.0,100,1.0,0.016302230074335813
0.0005,1500,30.0,3.0,500,1.0,0.017933331111037034
0.0005,200,30.0,3.0,100,1.0,0.01631348044934831
0.0005,200,30.0,3.0,500,1.0,0.017793259775325844
0.0005,20,30.0,3.0,100,1.0,0.0164230407680256
0.0005,20,30.0,3.0,500,1.0,0.017685406180206007
0.0005,3000,30.0,3.0,100,1.0,0.016117590586352877
0.0005,3000,30.0,3.0,500,1.0,0.018204873495783192
0.0005,400,30.0,3.0,100,1.0,0.01615010500350012
0.0005,400,30.0,3.0,500,1.0,0.017226790893029767
0.0005,40,30.0,3.0,100,1.0,0.016516530551018368
0.0005,40,30.0,3.0,500,1.0,0.017772375745858195
0.0005,4,30.0,3.0,100,1.0,0.01622077735924531
0.0005,4,30.0,3.0,500,1.0,0.017787159571985733
0.0005,800,30.0,3.0,100,1.0,0.01634124137471249
0.0005,800,30.0,3.0,500,1.0,0.017594303143438114
0.0005,80,30.0,3.0,100,1.0,0.016480706023534117
0.0005,80,30.0,3.0,500,1.0,0.017601986732891095
0.0005,8,30.0,3.0,100,1.0,0.016390843028100937
0.0005,8,30.0,3.0,500,1.0,0.017816693889796325
0.00075,1000,30.0,3.0,100,1.0,0.016415543851461715
