birth,deltactcf,clife,cof,sep,face,frip
0.0001,1000,15.0,1.5,100,1.0,0.010779995
0.0001,100,15.0,1.5,100,1.0,0.01039581
0.0001,10,15.0,1.5,100,1.0,0.010480095
0.0001,1500,15.0,1.5,100,1.0,0.01046859
0.0001,200,15.0,1.5,100,1.0,0.01062005
0.0001,20,15.0,1.5,100,1.0,0.010584915
0.0001,400,15.0,1.5,100,1.0,0.01036769
0.0001,40,15.0,1.5,100,1.0,0.01077417
0.0001,4,15.0,1.5,100,1.0,0.010469125
0.0001,600,15.0,1.5,100,1.0,0.010477455
0.0001,60,15.0,1.5,100,1.0,0.01048801
0.0001,800,15.0,1.5,100,1.0,0.01030264
0.0001,80,15.0,1.5,100,1.0,0.0103869
0.0001,8,15.0,1.5,100,1.0,0.010413605
0.00025,1000,15.0,1.5,100,1.0,0.01057356
0.00025,100,15.0,1.5,100,1.0,0.01042269
0.00025,10,15.0,1.5,100,1.0,0.01058504
0.00025,1500,15.0,1.5,100,1.0,0.01062333
0.00025,200,15.0,1.5,100,1.0,0.01017452
0.00025,20,15.0,1.5,100,1.0,0.010480545
0.00025,400,15.0,1.5,100,1.0,0.010432995
0.00025,40,15.0,1.5,100,1.0,0.01065148
0.00025,4,15.0,1.5,100,1.0,0.01065904
0.00025,600,15.0,1.5,100,1.0,0.01050034
0.00025,60,15.0,1.5,100,1.0,0.010451035
0.00025,800,15.0,1.5,100,1.0,0.010742955
0.00025,80,15.0,1.5,100,1.0,0.010735495
0.00025,8,15.0,1.5,100,1.0,0.010040795
0.0005,1000,15.0,1.5,100,1.0,0.010587885
0.0005,100,15.0,1.5,100,1.0,0.010842535
0.0005,10,15.0,1.5,100,1.0,0.010761325
0.0005,1500,15.0,1.5,100,1.0,0.01041295
0.0005,200,15.0,1.5,100,1.0,0.010633245
0.0005,20,15.0,1.5,100,1.0,0.010702695
0.0005,400,15.0,1.5,100,1.0,0.010316645
0.0005,40,15.0,1.5,100,1.0,0.01047785
0.0005,4,15.0,1.5,100,1.0,0.010670235
0.0005,600,15.0,1.5,100,1.0,0.01064357
0.0005,60,15.0,1.5,100,1.0,0.01079863
0.0005,800,15.0,1.5,100,1.0,0.01062093
0.0005,80,15.0,1.5,100,1.0,0.010523665
0.0005,8,15.0,1.5,100,1.0,0.01050229
0.00075,1000,15.0,1.5,100,1.0,0.01066852
0.00075,100,15.0,1.5,100,1.0,0.01069307
0.00075,10,15.0,1.5,100,1.0,0.01034601
0.00075,1500,15.0,1.5,100,1.0,0.01043976
0.00075,200,15.0,1.5,100,1.0,0.01073228
0.00075,20,15.0,1.5,100,1.0,0.01105939
0.00075,400,15.0,1.5,100,1.0,0.01063492
0.00075,40,15.0,1.5,100,1.0,0.01088706
0.00075,4,15.0,1.5,100,1.0,0.010489105
0.00075,600,15.0,1.5,100,1.0,0.010381095
0.00075,60,15.0,1.5,100,1.0,0.010579815
0.00075,800,15.0,1.5,100,1.0,0.010922
0.00075,80,15.0,1.5,100,1.0,0.010513775
0.00075,8,15.0,1.5,100,1.0,0.01042535
0.001,1000,15.0,1.5,100,1.0,0.010591515
0.001,100,15.0,1.5,100,1.0,0.01076504
0.001,10,15.0,1.5,100,1.0,0.010255195
0.001,1500,15.0,1.5,100,1.0,0.0105429
0.001,200,15.0,1.5,100,1.0,0.01077069
0.001,20,15.0,1.5,100,1.0,0.010257155
0.001,400,15.0,1.5,100,1.0,0.01053359
0.001,40,15.0,1.5,100,1.0,0.010872145
0.001,4,15.0,1.5,100,1.0,0.010615565
0.001,600,15.0,1.5,100,1.0,0.01043481
0.001,60,15.0,1.5,100,1.0,0.011022215
0.001,800,15.0,1.5,100,1.0,0.010591975
0.001,80,15.0,1.5,100,1.0,0.010476325
0.001,8,15.0,1.5,100,1.0,0.010310685
0.0025,1000,15.0,1.5,100,1.0,0.010691915
0.0025,100,15.0,1.5,100,1.0,0.010851505
0.0025,10,15.0,1.5,100,1.0,0.01120188
0.0025,1500,15.0,1.5,100,1.0,0.010629085
0.0025,200,15.0,1.5,100,1.0,0.01106765
0.0025,20,15.0,1.5,100,1.0,0.011074015
0.0025,400,15.0,1.5,100,1.0,0.01112926
0.0025,40,15.0,1.5,100,1.0,0.010939145
0.0025,4,15.0,1.5,100,1.0,0.010811665
0.0025,600,15.0,1.5,100,1.0,0.010681105
0.0025,60,15.0,1.5,100,1.0,0.010923065
0.0025,800,15.0,1.5,100,1.0,0.01071934
0.0025,80,15.0,1.5,100,1.0,0.010974325
0.0025,8,15.0,1.5,100,1.0,0.01127863
0.005,1000,15.0,1.5,100,1.0,0.010636055
0.005,100,15.0,1.5,100,1.0,0.011557335
0.005,10,15.0,1.5,100,1.0,0.011786695
0.005,1500,15.0,1.5,100,1.0,0.010535235
0.005,200,15.0,1.5,100,1.0,0.011520335
0.005,20,15.0,1.5,100,1.0,0.011898295
0.005,400,15.0,1.5,100,1.0,0.011253665
0.005,40,15.0,1.5,100,1.0,0.01174071
0.005,4,15.0,1.5,100,1.0,0.011857275
0.005,600,15.0,1.5,100,1.0,0.01117364
0.005,60,15.0,1.5,100,1.0,0.01159001
0.005,800,15.0,1.5,100,1.0,0.011041625
0.005,80,15.0,1.5,100,1.0,0.011736495
0.005,8,15.0,1.5,100,1.0,0.01174246
0.0075,1000,15.0,1.5,100,1.0,0.01098436
0.0075,100,15.0,1.5,100,1.0,0.011880605
0.0075,10,15.0,1.5,100,1.0,0.012409555
0.0075,1500,15.0,1.5,100,1.0,0.010513995
0.0075,200,15.0,1.5,100,1.0,0.01174692
0.0075,20,15.0,1.5,100,1.0,0.011987355
0.0075,400,15.0,1.5,100,1.0,0.01141743
0.0075,40,15.0,1.5,100,1.0,0.012036455
0.0075,4,15.0,1.5,100,1.0,0.01200477
0.0075,600,15.0,1.5,100,1.0,0.01103284
0.0075,60,15.0,1.5,100,1.0,0.01215497
