birth,deltactcf,clife,cof,sep,face,frip
0.0001,1000,17.0,1.7,100,1.0,0.01151505050168339
0.0001,1000,17.0,1.7,500,1.0,0.011896496549884996
0.0001,100,17.0,1.7,100,1.0,0.011713750458348611
0.0001,100,17.0,1.7,500,1.0,0.012090069668988967
0.0001,10,17.0,1.7,100,1.0,0.011542651421714057
0.0001,10,17.0,1.7,500,1.0,0.012326327544251475
0.0001,1500,17.0,1.7,100,1.0,0.01152970432347745
0.0001,1500,17.0,1.7,500,1.0,0.011859828660955364
0.0001,200,17.0,1.7,100,1.0,0.011502623420780693
0.0001,200,17.0,1.7,500,1.0,0.012210573685789526
0.0001,20,17.0,1.7,100,1.0,0.011334124470815695
0.0001,20,17.0,1.7,500,1.0,0.012121220707356911
0.0001,3000,17.0,1.7,100,1.0,0.01141523050768359
0.0001,3000,17.0,1.7,500,1.0,0.011663172105736858
0.0001,400,17.0,1.7,100,1.0,0.011299019967332244
0.0001,400,17.0,1.7,500,1.0,0.012020967365578852
0.0001,40,17.0,1.7,100,1.0,0.011622077402580085
0.0001,40,17.0,1.7,500,1.0,0.01230419347311577
0.0001,4,17.0,1.7,100,1.0,0.011591369712323744
0.0001,4,17.0,1.7,500,1.0,0.011631671055701856
0.0001,800,17.0,1.7,100,1.0,0.011618017267242242
0.0001,800,17.0,1.7,500,1.0,0.012377962598753291
0.0001,80,17.0,1.7,100,1.0,0.011260728690956364
0.0001,80,17.0,1.7,500,1.0,0.012031767725590854
0.0001,8,17.0,1.7,100,1.0,0.011359828660955366
0.0001,8,17.0,1.7,500,1.0,0.01229382646088203
0.00025,1000,17.0,1.7,100,1.0,0.011681159371979066
0.00025,1000,17.0,1.7,500,1.0,0.011978449281642722
0.00025,100,17.0,1.7,100,1.0,0.011069742324744157
0.00025,100,17.0,1.7,500,1.0,0.011881429380979367
0.00025,10,17.0,1.7,100,1.0,0.01145377179239308
0.00025,10,17.0,1.7,500,1.0,0.012174089136304543
0.00025,1500,17.0,1.7,100,1.0,0.011579972665755525
0.00025,1500,17.0,1.7,500,1.0,0.011960848694956498
0.00025,200,17.0,1.7,100,1.0,0.011350841694723158
0.00025,200,17.0,1.7,500,1.0,0.011458665288842962
0.00025,20,17.0,1.7,100,1.0,0.011253155105170172
0.00025,20,17.0,1.7,500,1.0,0.01198269942331411
0.00025,3000,17.0,1.7,100,1.0,0.011310873695789859
0.00025,3000,17.0,1.7,500,1.0,0.011986816227207573
0.00025,400,17.0,1.7,100,1.0,0.01132237741258042
0.00025,400,17.0,1.7,500,1.0,0.011761642054735158
0.00025,40,17.0,1.7,100,1.0,0.011514843828127605
0.00025,40,17.0,1.7,500,1.0,0.011990583019433981
0.00025,4,17.0,1.7,100,1.0,0.011345168172272409
0.00025,4,17.0,1.7,500,1.0,0.012367178905963533
0.00025,800,17.0,1.7,100,1.0,0.011606486882896096
0.00025,800,17.0,1.7,500,1.0,0.011962782092736424
0.00025,80,17.0,1.7,100,1.0,0.011612297076569219
0.00025,80,17.0,1.7,500,1.0,0.012270925697523251
0.00025,8,17.0,1.7,100,1.0,0.011318800626687556
0.00025,8,17.0,1.7,500,1.0,0.01204745158171939
0.0005,1000,17.0,1.7,100,1.0,0.011134067802260075
0.0005,1000,17.0,1.7,500,1.0,0.011960615353845128
0.0005,100,17.0,1.7,100,1.0,0.011105176839227975
0.0005,100,17.0,1.7,500,1.0,0.01215242174739158
0.0005,10,17.0,1.7,100,1.0,0.011595033167772259
0.0005,10,17.0,1.7,500,1.0,0.01196943231441048
0.0005,1500,17.0,1.7,100,1.0,0.01153983799459982
0.0005,1500,17.0,1.7,500,1.0,0.012063268775625854
0.0005,200,17.0,1.7,100,1.0,0.01163233107770259
0.0005,200,17.0,1.7,500,1.0,0.012140571352378412
0.0005,20,17.0,1.7,100,1.0,0.011317710590353011
0.0005,20,17.0,1.7,500,1.0,0.012318927297576585
0.0005,3000,17.0,1.7,100,1.0,0.011356535217840595
0.0005,3000,17.0,1.7,500,1.0,0.011979649321644055
0.0005,400,17.0,1.7,100,1.0,0.011588719623987467
0.0005,400,17.0,1.7,500,1.0,0.012509550318343944
0.0005,40,17.0,1.7,100,1.0,0.011709156971899063
0.0005,40,17.0,1.7,500,1.0,0.012509266975565852
0.0005,4,17.0,1.7,100,1.0,0.01180398013267109
0.0005,4,17.0,1.7,500,1.0,0.012244958165272176
0.0005,800,17.0,1.7,100,1.0,0.01141280042668089
0.0005,800,17.0,1.7,500,1.0,0.012601353378445947
0.0005,80,17.0,1.7,100,1.0,0.011623394113137104
0.0005,80,17.0,1.7,500,1.0,0.012117537251241707
0.0005,8,17.0,1.7,100,1.0,0.011878745958198607
0.0005,8,17.0,1.7,500,1.0,0.012158555285176172
0.00075,1000,17.0,1.7,100,1.0,0.011681929397646588
0.00075,1000,17.0,1.7,500,1.0,0.011579069302310077
0.00075,100,17.0,1.7,100,1.0,0.011612990433014433
0.00075,100,17.0,1.7,500,1.0,0.011861195373179105
0.00075,10,17.0,1.7,100,1.0,0.011380316010533685
0.00075,10,17.0,1.7,500,1.0,0.012152338411280376
0.00075,1500,17.0,1.7,100,1.0,0.01156721890729691
0.00075,1500,17.0,1.7,500,1.0,0.01232126070869029
