birth,life,deltactcf,clife,cof,sep,face,frip
0.0001,50,1000,17.0,1.7,100,1.0,0.0114711608251746
0.0001,50,1000,17.0,1.7,74,1.0,0.011176986725592348
0.0001,50,100,17.0,1.7,100,1.0,0.011579004500072583
0.0001,50,100,17.0,1.7,74,1.0,0.0112851323904728
0.0001,50,10,17.0,1.7,100,1.0,0.011440279681930354
0.0001,50,10,17.0,1.7,74,1.0,0.01135647845436713
0.0001,50,1500,17.0,1.7,100,1.0,0.011402450039516766
0.0001,50,1500,17.0,1.7,74,1.0,0.011288999698506304
0.0001,50,200,17.0,1.7,100,1.0,0.011512338908692075
0.0001,50,200,17.0,1.7,74,1.0,0.011340248664060339
0.0001,50,20,17.0,1.7,100,1.0,0.011517942224874594
0.0001,50,20,17.0,1.7,74,1.0,0.011350722778407096
0.0001,50,3000,17.0,1.7,100,1.0,0.011672235036048969
0.0001,50,3000,17.0,1.7,74,1.0,0.011331791951979375
0.0001,50,400,17.0,1.7,100,1.0,0.011601579057726737
0.0001,50,400,17.0,1.7,74,1.0,0.011223178537619094
0.0001,50,40,17.0,1.7,100,1.0,0.011682149712092131
0.0001,50,40,17.0,1.7,74,1.0,0.011134112584942436
0.0001,50,4,17.0,1.7,100,1.0,0.01154823464894595
0.0001,50,4,17.0,1.7,74,1.0,0.011320888550311605
0.0001,50,5000,17.0,1.7,100,1.0,0.011415288956273488
0.0001,50,5000,17.0,1.7,74,1.0,0.011236338799509173
0.0001,50,8,17.0,1.7,100,1.0,0.011258462233261827
0.0001,50,8,17.0,1.7,74,1.0,0.011299563144318705
0.00025,50,1000,17.0,1.7,100,1.0,0.011451516959950968
0.00025,50,1000,17.0,1.7,74,1.0,0.011246345164376101
0.00025,50,100,17.0,1.7,100,1.0,0.011394616042194229
0.00025,50,100,17.0,1.7,74,1.0,0.011407958192874079
0.00025,50,10,17.0,1.7,100,1.0,0.011509950160486459
0.00025,50,10,17.0,1.7,74,1.0,0.011167721067461386
0.00025,50,1500,17.0,1.7,100,1.0,0.011328403683930385
0.00025,50,1500,17.0,1.7,74,1.0,0.0112924451635076
0.00025,50,200,17.0,1.7,100,1.0,0.011419642252294393
0.00025,50,200,17.0,1.7,74,1.0,0.01119681086667651
0.00025,50,20,17.0,1.7,100,1.0,0.011539311924385877
0.00025,50,20,17.0,1.7,74,1.0,0.011305083084466623
0.00025,50,3000,17.0,1.7,100,1.0,0.011700017742221649
0.00025,50,3000,17.0,1.7,74,1.0,0.01130566497970811
0.00025,50,400,17.0,1.7,100,1.0,0.01165274278617397
0.00025,50,400,17.0,1.7,74,1.0,0.011245193781041133
0.00025,50,40,17.0,1.7,100,1.0,0.011551839545799126
0.00025,50,40,17.0,1.7,74,1.0,0.011321073416816896
0.00025,50,4,17.0,1.7,100,1.0,0.011467246245907193
0.00025,50,4,17.0,1.7,74,1.0,0.01134614205936324
0.00025,50,5000,17.0,1.7,100,1.0,0.011372728592396651
0.00025,50,5000,17.0,1.7,74,1.0,0.011184407440814802
0.00025,50,8,17.0,1.7,100,1.0,0.01174120711624381
0.00025,50,8,17.0,1.7,74,1.0,0.011281717943341518
0.0005,50,1000,17.0,1.7,100,1.0,0.011491701479056114
0.0005,50,1000,17.0,1.7,74,1.0,0.011268452220693385
0.0005,50,100,17.0,1.7,100,1.0,0.011687477217374474
0.0005,50,100,17.0,1.7,74,1.0,0.011284595160964134
0.0005,50,10,17.0,1.7,100,1.0,0.011457662220358393
0.0005,50,10,17.0,1.7,74,1.0,0.011337886343079976
0.0005,50,1500,17.0,1.7,100,1.0,0.011440205487185277
0.0005,50,1500,17.0,1.7,74,1.0,0.011278536750592752
0.0005,50,200,17.0,1.7,100,1.0,0.011678201261310667
0.0005,50,200,17.0,1.7,74,1.0,0.011381993754241693
0.0005,50,20,17.0,1.7,100,1.0,0.01167849320150325
0.0005,50,20,17.0,1.7,74,1.0,0.01139205843270425
0.0005,50,3000,17.0,1.7,100,1.0,0.011435350570170486
0.0005,50,3000,17.0,1.7,74,1.0,0.01119886300895672
0.0005,50,400,17.0,1.7,100,1.0,0.011502971015661542
0.0005,50,400,17.0,1.7,74,1.0,0.011284745287455008
0.0005,50,40,17.0,1.7,100,1.0,0.011804877498024162
