birth,life,deltactcf,clife,cof,sep,face,frip
0.0001,50,1000,17.0,1.7,100,1.0,0.011423205212987305
0.0001,50,1000,17.0,1.7,74,1.0,0.011069568119585056
0.0001,50,100,17.0,1.7,100,1.0,0.011436602203261342
0.0001,50,100,17.0,1.7,74,1.0,0.011406674053055446
0.0001,50,10,17.0,1.7,100,1.0,0.011527250439523217
0.0001,50,10,17.0,1.7,74,1.0,0.011284152225780317
0.0001,50,1500,17.0,1.7,100,1.0,0.011576696398329006
0.0001,50,1500,17.0,1.7,74,1.0,0.011139706967978391
0.0001,50,200,17.0,1.7,100,1.0,0.011500290327263343
0.0001,50,200,17.0,1.7,74,1.0,0.011236436815978421
0.0001,50,20,17.0,1.7,100,1.0,0.011496654784754593
0.0001,50,20,17.0,1.7,74,1.0,0.01138001605484952
0.0001,50,3000,17.0,1.7,100,1.0,0.011503153276665753
0.0001,50,3000,17.0,1.7,74,1.0,0.01131553858809137
0.0001,50,400,17.0,1.7,100,1.0,0.01139920805174277
0.0001,50,400,17.0,1.7,74,1.0,0.011227285303609115
0.0001,50,40,17.0,1.7,100,1.0,0.01143797803190374
0.0001,50,40,17.0,1.7,74,1.0,0.011377993689724523
0.0001,50,4,17.0,1.7,100,1.0,0.011284438458684818
0.0001,50,4,17.0,1.7,74,1.0,0.011206076524807472
0.0001,50,5000,17.0,1.7,100,1.0,0.011432398909659833
0.0001,50,5000,17.0,1.7,74,1.0,0.011164037385218373
0.0001,50,8,17.0,1.7,100,1.0,0.011425448797561251
0.0001,50,8,17.0,1.7,74,1.0,0.011321583350599948
0.00025,50,1000,17.0,1.7,100,1.0,0.011354991209535637
0.00025,50,1000,17.0,1.7,74,1.0,0.011178568636963128
0.00025,50,100,17.0,1.7,100,1.0,0.011431039210309843
0.00025,50,100,17.0,1.7,74,1.0,0.011262810690495008
0.00025,50,10,17.0,1.7,100,1.0,0.011673725382667463
0.00025,50,10,17.0,1.7,74,1.0,0.011336677886864181
0.00025,50,1500,17.0,1.7,100,1.0,0.011638949015306698
0.00025,50,1500,17.0,1.7,74,1.0,0.011239259442149811
0.00025,50,200,17.0,1.7,100,1.0,0.011472618913208277
0.00025,50,200,17.0,1.7,74,1.0,0.011376648754880661
0.00025,50,20,17.0,1.7,100,1.0,0.011600206454942821
0.00025,50,20,17.0,1.7,74,1.0,0.011358400321593276
0.00025,50,3000,17.0,1.7,100,1.0,0.011617147050758883
0.00025,50,3000,17.0,1.7,74,1.0,0.011286735393995188
0.00025,50,400,17.0,1.7,100,1.0,0.011614527653671833
0.00025,50,400,17.0,1.7,74,1.0,0.011375396873646845
0.00025,50,40,17.0,1.7,100,1.0,0.011645237826416556
0.00025,50,40,17.0,1.7,74,1.0,0.011351791033850422
0.00025,50,4,17.0,1.7,100,1.0,0.011539071597929
0.00025,50,4,17.0,1.7,74,1.0,0.011395345086211067
0.00025,50,5000,17.0,1.7,100,1.0,0.011383385215890579
0.00025,50,5000,17.0,1.7,74,1.0,0.011294001019867566
0.00025,50,8,17.0,1.7,100,1.0,0.011612829239181277
0.00025,50,8,17.0,1.7,74,1.0,0.011331087225972628
0.0005,50,1000,17.0,1.7,100,1.0,0.011461384861046146
0.0005,50,1000,17.0,1.7,74,1.0,0.011349855518761469
0.0005,50,100,17.0,1.7,100,1.0,0.011534374747979807
0.0005,50,100,17.0,1.7,74,1.0,0.01125948433411457
0.0005,50,10,17.0,1.7,100,1.0,0.01178866755915418
0.0005,50,10,17.0,1.7,74,1.0,0.011387732060194519
0.0005,50,1500,17.0,1.7,100,1.0,0.01147502056484782
0.0005,50,1500,17.0,1.7,74,1.0,0.011206405314229635
0.0005,50,200,17.0,1.7,100,1.0,0.011604498459652574
0.0005,50,200,17.0,1.7,74,1.0,0.011419074997487552
0.0005,50,20,17.0,1.7,100,1.0,0.011620053549250794
0.0005,50,20,17.0,1.7,74,1.0,0.011426851797857782
0.0005,50,3000,17.0,1.7,100,1.0,0.011530108550137905
0.0005,50,3000,17.0,1.7,74,1.0,0.011069643803187893
0.0005,50,400,17.0,1.7,100,1.0,0.01148749173373764
0.0005,50,400,17.0,1.7,74,1.0,0.011257666686931674
0.0005,50,40,17.0,1.7,100,1.0,0.011708972725366537
0.0005,50,40,17.0,1.7,74,1.0,0.01115595040614799
0.0005,50,4,17.0,1.7,100,1.0,0.011761792932144067
0.0005,50,4,17.0,1.7,74,1.0,0.01130326915942813
0.0005,50,5000,17.0,1.7,100,1.0,0.01156931240826465
0.0005,50,5000,17.0,1.7,74,1.0,0.011270864170265774
0.0005,50,8,17.0,1.7,100,1.0,0.01154508459813868
0.0005,50,8,17.0,1.7,74,1.0,0.011285077799021572
0.00075,50,1000,17.0,1.7,100,1.0,0.011354499266117195
0.00075,50,1000,17.0,1.7,74,1.0,0.011315904598957552
0.00075,50,100,17.0,1.7,100,1.0,0.011427953676672204
0.00075,50,100,17.0,1.7,74,1.0,0.011263437251469317
0.00075,50,10,17.0,1.7,100,1.0,0.011733016661559058
0.00075,50,10,17.0,1.7,74,1.0,0.011453058175876286
0.00075,50,1500,17.0,1.7,100,1.0,0.011383604574267327
0.00075,50,1500,17.0,1.7,74,1.0,0.011241464192350496
0.00075,50,200,17.0,1.7,100,1.0,0.011424866530105325
0.00075,50,200,17.0,1.7,74,1.0,0.011123536731982029
0.00075,50,20,17.0,1.7,100,1.0,0.011442928111743737
0.00075,50,20,17.0,1.7,74,1.0,0.011382686073100435
0.00075,50,3000,17.0,1.7,100,1.0,0.011430505330731141
0.00075,50,3000,17.0,1.7,74,1.0,0.011406894900289954
0.00075,50,400,17.0,1.7,100,1.0,0.011607358183196503
0.00075,50,400,17.0,1.7,74,1.0,0.011142778977824704
0.00075,50,40,17.0,1.7,100,1.0,0.011862649397570929
0.00075,50,40,17.0,1.7,74,1.0,0.011371805004299077
0.00075,50,4,17.0,1.7,100,1.0,0.011615571218890628
0.00075,50,4,17.0,1.7,74,1.0,0.011315318981571664
0.00075,50,5000,17.0,1.7,100,1.0,0.011463671994709592
0.00075,50,5000,17.0,1.7,74,1.0,0.011434538026047566
0.00075,50,8,17.0,1.7,100,1.0,0.011714287327214955
0.00075,50,8,17.0,1.7,74,1.0,0.011524764047062794
0.001,50,1000,17.0,1.7,100,1.0,0.01165584928789174
0.001,50,1000,17.0,1.7,74,1.0,0.011281162103110844
0.001,50,100,17.0,1.7,100,1.0,0.011802079065791385
0.001,50,100,17.0,1.7,74,1.0,0.011565207627418308
0.001,50,10,17.0,1.7,100,1.0,0.011634315069597896
0.001,50,10,17.0,1.7,74,1.0,0.01149965446092803
0.001,50,1500,17.0,1.7,100,1.0,0.011561384861046145
0.001,50,1500,17.0,1.7,74,1.0,0.011324418383919344
0.001,50,200,17.0,1.7,100,1.0,0.011520753560541299
0.001,50,200,17.0,1.7,74,1.0,0.011530774069556953
0.001,50,20,17.0,1.7,100,1.0,0.011847795932192455
0.001,50,20,17.0,1.7,74,1.0,0.011293973724141952
0.001,50,3000,17.0,1.7,100,1.0,0.011444589428861757
0.001,50,3000,17.0,1.7,74,1.0,0.011300654973343243
0.001,50,400,17.0,1.7,100,1.0,0.011487561089694995
0.001,50,400,17.0,1.7,74,1.0,0.011339385126559113
0.001,50,40,17.0,1.7,100,1.0,0.011689451442765206
0.001,50,40,17.0,1.7,74,1.0,0.011483074789047466
0.001,50,4,17.0,1.7,100,1.0,0.011581244858788045
0.001,50,4,17.0,1.7,74,1.0,0.01150607391930639
0.001,50,5000,17.0,1.7,100,1.0,0.01139015306698495
0.001,50,5000,17.0,1.7,74,1.0,0.011168636714984236
0.001,50,8,17.0,1.7,100,1.0,0.011938763528444007
0.001,50,8,17.0,1.7,74,1.0,0.011656983301219498
0.0025,50,1000,17.0,1.7,100,1.0,0.011493840223229407
0.0025,50,1000,17.0,1.7,74,1.0,0.011331769619112963
0.0025,50,100,17.0,1.7,100,1.0,0.01210698882240036
0.0025,50,100,17.0,1.7,74,1.0,0.011814436212991029
0.0025,50,10,17.0,1.7,100,1.0,0.011946863659091275
0.0025,50,10,17.0,1.7,74,1.0,0.011775848741977228
0.0025,50,1500,17.0,1.7,100,1.0,0.011597591896643495
0.0025,50,1500,17.0,1.7,74,1.0,0.011262026558741022
0.0025,50,200,17.0,1.7,100,1.0,0.012102262939724833
0.0025,50,200,17.0,1.7,74,1.0,0.011656566421046493
0.0025,50,20,17.0,1.7,100,1.0,0.012114421200341941
0.0025,50,20,17.0,1.7,74,1.0,0.011984007186220126
0.0025,50,3000,17.0,1.7,100,1.0,0.011534934434426361
0.0025,50,3000,17.0,1.7,74,1.0,0.011195597447601513
0.0025,50,400,17.0,1.7,100,1.0,0.01180694849916934
0.0025,50,400,17.0,1.7,74,1.0,0.011587385404479228
0.0025,50,40,17.0,1.7,100,1.0,0.011972046323327795
0.0025,50,40,17.0,1.7,74,1.0,0.011826092728542768
0.0025,50,4,17.0,1.7,100,1.0,0.012119866449458862
0.0025,50,4,17.0,1.7,74,1.0,0.011873653048994588
0.0025,50,5000,17.0,1.7,100,1.0,0.01148214971209213
0.0025,50,5000,17.0,1.7,74,1.0,0.011270220239284257
0.0025,50,8,17.0,1.7,100,1.0,0.012270518879336764
0.0025,50,8,17.0,1.7,74,1.0,0.011781701193691709
0.005,50,1000,17.0,1.7,100,1.0,0.011822526169776932
0.005,50,1000,17.0,1.7,74,1.0,0.011544641538883382
0.005,50,100,17.0,1.7,100,1.0,0.012618447071726963
0.005,50,100,17.0,1.7,74,1.0,0.012292848395817799
0.005,50,10,17.0,1.7,100,1.0,0.012756708979177083
0.005,50,10,17.0,1.7,74,1.0,0.012656129689436678
0.005,50,1500,17.0,1.7,100,1.0,0.01157906095259601
0.005,50,1500,17.0,1.7,74,1.0,0.011427475877402489
0.005,50,200,17.0,1.7,100,1.0,0.012379901288730464
0.005,50,200,17.0,1.7,74,1.0,0.012147025944587195
0.005,50,20,17.0,1.7,100,1.0,0.012834923143921676
0.005,50,20,17.0,1.7,74,1.0,0.012314018712460623
0.005,50,3000,17.0,1.7,100,1.0,0.01125605251697608
0.005,50,3000,17.0,1.7,74,1.0,0.011110664315925691
0.005,50,400,17.0,1.7,100,1.0,0.012162039710317908
0.005,50,400,17.0,1.7,74,1.0,0.011982401701268134
0.005,50,40,17.0,1.7,100,1.0,0.01276705914611526
0.005,50,40,17.0,1.7,74,1.0,0.012548467903328465
0.005,50,4,17.0,1.7,100,1.0,0.01279876127034307
0.005,50,4,17.0,1.7,74,1.0,0.012553182619570787
