birth,deltactcf,clife,cof,sep,face,frip
0.0001,1000,17.0,1.7,100,1.0,0.011472189874030226
0.0001,1000,17.0,1.7,3000,1.0,nan
0.0001,1000,17.0,1.7,500,1.0,0.012028524653623446
0.0001,100,17.0,1.7,100,1.0,0.011596456394457975
0.0001,100,17.0,1.7,3000,1.0,nan
0.0001,100,17.0,1.7,500,1.0,0.0120225406861401
0.0001,10,17.0,1.7,100,1.0,0.011436826400425813
0.0001,10,17.0,1.7,3000,1.0,nan
0.0001,10,17.0,1.7,500,1.0,0.011985096533815062
0.0001,1500,17.0,1.7,100,1.0,0.011417177696414458
0.0001,1500,17.0,1.7,3000,1.0,nan
0.0001,1500,17.0,1.7,500,1.0,0.012096711237278021
0.0001,200,17.0,1.7,100,1.0,0.01144894595074114
0.0001,200,17.0,1.7,3000,1.0,nan
0.0001,200,17.0,1.7,500,1.0,0.01176878659333215
0.0001,20,17.0,1.7,100,1.0,0.011511856642849079
0.0001,20,17.0,1.7,3000,1.0,nan
0.0001,20,17.0,1.7,500,1.0,0.011889111114695398
0.0001,3000,17.0,1.7,100,1.0,0.01164908304972661
0.0001,3000,17.0,1.7,3000,1.0,nan
0.0001,3000,17.0,1.7,500,1.0,0.011916458329973064
0.0001,400,17.0,1.7,100,1.0,0.011386406232358587
0.0001,400,17.0,1.7,3000,1.0,nan
0.0001,400,17.0,1.7,500,1.0,0.011757560605816222
0.0001,40,17.0,1.7,100,1.0,0.011572512459878385
0.0001,40,17.0,1.7,3000,1.0,nan
0.0001,40,17.0,1.7,500,1.0,0.012240060323553606
0.0001,4,17.0,1.7,100,1.0,0.01140761625187503
0.0001,4,17.0,1.7,3000,1.0,nan
0.0001,4,17.0,1.7,500,1.0,0.012002467781738415
0.0001,5000,17.0,1.7,100,1.0,0.011459097727382699
0.0001,5000,17.0,1.7,3000,1.0,nan
0.0001,5000,17.0,1.7,500,1.0,0.01207971096308005
0.0001,800,17.0,1.7,100,1.0,0.011579828706914628
0.0001,800,17.0,1.7,3000,1.0,nan
0.0001,800,17.0,1.7,500,1.0,0.012208729173051179
0.0001,80,17.0,1.7,100,1.0,0.011531040823239084
