birth,deltactcf,clife,cof,sep,face,frip
0.0001,1000,17.0,1.7,100,1.0,0.011635015080888402
0.0001,1000,17.0,1.7,3000,1.0,nan
0.0001,1000,17.0,1.7,500,1.0,0.012050436297359635
0.0001,100,17.0,1.7,100,1.0,0.011454720237423185
0.0001,100,17.0,1.7,3000,1.0,nan
0.0001,100,17.0,1.7,500,1.0,0.01209742092614397
0.0001,10,17.0,1.7,100,1.0,0.011376927047210439
0.0001,10,17.0,1.7,3000,1.0,nan
0.0001,10,17.0,1.7,500,1.0,0.011974217326085905
0.0001,1500,17.0,1.7,100,1.0,0.011537176406071065
0.0001,1500,17.0,1.7,3000,1.0,nan
0.0001,1500,17.0,1.7,500,1.0,0.012090565976870594
0.0001,200,17.0,1.7,100,1.0,0.011437382861013888
0.0001,200,17.0,1.7,3000,1.0,nan
0.0001,200,17.0,1.7,500,1.0,0.012099896772528589
0.0001,20,17.0,1.7,100,1.0,0.011388377231890836
0.0001,20,17.0,1.7,3000,1.0,nan
0.0001,20,17.0,1.7,500,1.0,0.012084033613445379
0.0001,3000,17.0,1.7,100,1.0,0.011432387619155148
0.0001,3000,17.0,1.7,3000,1.0,nan
0.0001,3000,17.0,1.7,500,1.0,0.012063452636332845
0.0001,400,17.0,1.7,100,1.0,0.01163105372667301
0.0001,400,17.0,1.7,3000,1.0,nan
0.0001,400,17.0,1.7,500,1.0,0.012297020919692253
0.0001,40,17.0,1.7,100,1.0,0.011542005516218003
0.0001,40,17.0,1.7,3000,1.0,nan
0.0001,40,17.0,1.7,500,1.0,0.012380610977596412
0.0001,4,17.0,1.7,100,1.0,0.011477301246794303
0.0001,4,17.0,1.7,3000,1.0,nan
0.0001,4,17.0,1.7,500,1.0,0.01193972483427152
0.0001,5000,17.0,1.7,100,1.0,0.01161779060952596
0.0001,5000,17.0,1.7,3000,1.0,nan
0.0001,5000,17.0,1.7,500,1.0,0.012264512330844047
0.0001,800,17.0,1.7,100,1.0,0.011459781609380796
0.0001,800,17.0,1.7,3000,1.0,nan
0.0001,800,17.0,1.7,500,1.0,0.011970539847416894
0.0001,80,17.0,1.7,100,1.0,0.011480962596170905
0.0001,80,17.0,1.7,3000,1.0,nan
0.0001,80,17.0,1.7,500,1.0,0.01194894272488266
0.0001,8,17.0,1.7,100,1.0,0.011568880143228117
0.0001,8,17.0,1.7,3000,1.0,nan
0.0001,8,17.0,1.7,500,1.0,0.011795061210664688
0.00025,1000,17.0,1.7,100,1.0,0.011504906530750496
0.00025,1000,17.0,1.7,3000,1.0,nan
0.00025,1000,17.0,1.7,500,1.0,0.01180694849916934
0.00025,100,17.0,1.7,100,1.0,0.011536842529718221
0.00025,100,17.0,1.7,3000,1.0,nan
0.00025,100,17.0,1.7,500,1.0,0.011536153808932402
0.00025,10,17.0,1.7,100,1.0,0.011514416361554218
0.00025,10,17.0,1.7,3000,1.0,nan
0.00025,10,17.0,1.7,500,1.0,0.012062621977773835
0.00025,1500,17.0,1.7,100,1.0,0.011345016855110567
0.00025,1500,17.0,1.7,3000,1.0,nan
0.00025,1500,17.0,1.7,500,1.0,0.01205936386070743
0.00025,200,17.0,1.7,100,1.0,0.011405125889127244
0.00025,200,17.0,1.7,3000,1.0,nan
0.00025,200,17.0,1.7,500,1.0,0.01207481572283424
0.00025,20,17.0,1.7,100,1.0,0.011577527056888014
0.00025,20,17.0,1.7,3000,1.0,nan
0.00025,20,17.0,1.7,500,1.0,0.011971338247391087
0.00025,3000,17.0,1.7,100,1.0,0.011495701543573284
0.00025,3000,17.0,1.7,3000,1.0,nan
0.00025,3000,17.0,1.7,500,1.0,0.012314666365586542
0.00025,400,17.0,1.7,100,1.0,0.011460847755608962
0.00025,400,17.0,1.7,3000,1.0,nan
0.00025,400,17.0,1.7,500,1.0,0.01197358021903579
0.00025,40,17.0,1.7,100,1.0,0.011461944547492702
0.00025,40,17.0,1.7,3000,1.0,nan
0.00025,40,17.0,1.7,500,1.0,0.0120489443378119
0.00025,4,17.0,1.7,100,1.0,0.011508158196099938
0.00025,4,17.0,1.7,3000,1.0,nan
0.00025,4,17.0,1.7,500,1.0,0.012246705592025679
0.00025,5000,17.0,1.7,100,1.0,0.011539289343376505
0.00025,5000,17.0,1.7,3000,1.0,nan
0.00025,5000,17.0,1.7,500,1.0,0.01214526847207213
0.00025,800,17.0,1.7,100,1.0,0.01153756996080582
0.00025,800,17.0,1.7,3000,1.0,nan
0.00025,800,17.0,1.7,500,1.0,0.012057710608235617
0.00025,80,17.0,1.7,100,1.0,0.011609584025548798
0.00025,80,17.0,1.7,3000,1.0,nan
0.00025,80,17.0,1.7,500,1.0,0.012024822981015823
0.00025,8,17.0,1.7,100,1.0,0.01128324650397587
0.00025,8,17.0,1.7,3000,1.0,nan
0.00025,8,17.0,1.7,500,1.0,0.011971870514040549
0.0005,1000,17.0,1.7,100,1.0,0.011353123437474797
0.0005,1000,17.0,1.7,3000,1.0,nan
0.0005,1000,17.0,1.7,500,1.0,0.011931861804222649
0.0005,100,17.0,1.7,100,1.0,0.011679185148147551
0.0005,100,17.0,1.7,3000,1.0,nan
0.0005,100,17.0,1.7,500,1.0,0.012157591251471797
