row_index_first,strand,ctcfloc,ctcfloc_next,deltactcfloc,Rad21,ctcf,ratio_first,Rad21_next,ctcf_next,ratio_second
95,right,41,206.0,165.0,1062.0,12153.298969072162,0.0873836809826359,57178.0,129994.31351351348,0.4398500092394896
19,right,938,1129.0,191.0,63668.0,94568.69230769224,0.6732460653346818,26607.0,64018.10596026489,0.4156167946692234
30,right,1129,1396.0,267.0,26607.0,64018.10596026489,0.4156167946692234,15908.0,63364.2625,0.251056342682123
172,left,1455,1779.0,324.0,78056.0,117887.0,0.6621255948493049,100321.0,181589.91304347836,0.5524591003905597
74,right,1812,2309.0,497.0,39432.0,63419.26126126125,0.6217669398190621,1886.0,15024.813725490189,0.1255256826778708
15,right,2309,2315.0,6.0,1886.0,15024.813725490189,0.1255256826778708,60344.0,97277.3846153847,0.6203291776252836
183,left,2327,2394.0,67.0,3339.0,41792.71571906355,0.0798943055638026,156461.0,152201.52582159618,1.027985752149401
42,right,2678,3295.0,617.0,19845.0,51453.44198895027,0.3856884832750694,59128.0,100165.4248366014,0.5903034914138762
48,right,3295,3400.0,105.0,59128.0,100165.4248366014,0.5903034914138762,21255.0,79538.21686746976,0.2672300289987147
157,left,3520,3643.0,123.0,16573.0,28355.89309576848,0.5844640457638476,60384.0,94184.85185185177,0.6411222060951068
207,left,3643,3699.0,56.0,60384.0,94184.85185185177,0.6411222060951068,3496.0,18861.92,0.1853469848244505
116,right,3887,3939.0,52.0,1386.0,14553.950617283952,0.09523187459177,37134.0,80659.52631578955,0.460379594279006
193,left,4969,5166.0,197.0,101671.0,158819.98611111112,0.6401650226116412,20348.0,59920.46408839784,0.3395834847003446
197,left,5552,5587.0,35.0,45995.0,124249.15555555554,0.370183602410354,9705.0,55632.06741573025,0.1744497454584235
212,left,5739,5790.0,51.0,76925.0,114518.80000000005,0.6717237693723648,39690.0,76523.1403508772,0.5186666388495258
194,left,5790,5944.0,154.0,39690.0,76523.1403508772,0.5186666388495258,36521.0,101496.29411764708,0.359825945543071
21,right,6110,6138.0,28.0,94257.0,148114.43589743585,0.636379563064803,96269.0,171976.32941176466,0.559780525199501
0,right,6138,6576.0,438.0,96269.0,171976.32941176466,0.559780525199501,18395.0,36625.08737864085,0.5022513614732743
50,right,7289,7298.0,9.0,10193.0,41260.45,0.2470404467231937,64947.0,134490.8028169015,0.4829103450919254
155,left,8779,8870.0,91.0,34579.0,102426.40983606564,0.3375984773394282,27056.0,80191.9714867617,0.3373903833311602
80,right,8912,9204.0,292.0,32089.0,80134.66767371605,0.4004384236128193,60675.0,117887.0,0.5146877942436401
7,right,9204,9253.0,49.0,60675.0,117887.0,0.5146877942436401,26446.0,97277.3846153847,0.2718617498256371
167,left,9257,9297.0,40.0,4061.0,27738.117647058723,0.1464050319373643,15790.0,48576.55276381913,0.325053942727709
186,left,9297,9437.0,140.0,15790.0,48576.55276381913,0.325053942727709,139660.0,139011.26011560686,1.0046668153634002
